Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict 1,Human Notes 1,Human Verdict 2,Human Notes 2
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-10999,"The D-Link DCS series of Wi-Fi cameras contains a stack-based buffer overflow in alphapd, the camera's web server. The overflow allows a remotely authenticated attacker to execute arbitrary code by providing a long string in the WEPEncryption parameter when requesting wireless.htm. Vulnerable devices include DCS-5009L (1.08.11 and below), DCS-5010L (1.14.09 and below), DCS-5020L (1.15.12 and below), DCS-5025L (1.03.07 and below), DCS-5030L (1.04.10 and below), DCS-930L (2.16.01 and below), DCS-931L (1.14.11 and below), DCS-932L (2.17.01 and below), DCS-933L (1.14.11 and below), and DCS-934L (1.05.04 and below).",cpe:2.3:o:dlink:dcs-930l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-930l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-931l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-931l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-932l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-932l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-933l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-933l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-934l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-934l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5009l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5009l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5010l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5010l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5020l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5020l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5025l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5025l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5030l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5030l:-:*:*:*:*:*:*:*,vendor_only,2019-05-06,8.8,3.0,CWE-787,No,Low,"This D-Link DCS model is a general-purpose indoor home Wi-Fi/network camera (cameras category); physically similar to and sometimes repurposed as a baby monitor, but not part of D-Link's dedicated EyeOn baby-monitor line, so it is classified as a camera rather than a baby monitor.",No,High,,Yes,High,,No,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2016-11021,setSystemCommand on D-Link DCS-930L devices before 2.12 allows a remote attacker to execute code via an OS command in the SystemCommand parameter.,cpe:2.3:o:dlink:dcs-930l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-930l:-:*:*:*:*:*:*:*,vendor_only,2020-03-09,7.2,3.1,CWE-78,No,Low,"This D-Link DCS model is a general-purpose indoor home Wi-Fi/network camera (cameras category); physically similar to and sometimes repurposed as a baby monitor, but not part of D-Link's dedicated EyeOn baby-monitor line, so it is classified as a camera rather than a baby monitor.",No,High,,Yes,High,,No,,No,
C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-51624,"D-Link DCS-8300LHV2 RTSP ValidateAuthorizationHeader Nonce Stack-Based Buffer Overflow Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of D-Link DCS-8300LHV2 IP cameras. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the handling of the Authorization header by the RTSP server, which listens on TCP port 554. The issue results from the lack of proper validation of the length of user-supplied data prior to copying it to a fixed-length stack-based buffer. An attacker can leverage this vulnerability to execute code in the context of root. Was ZDI-CAN-20072.",cpe:2.3:o:dlink:dcs-8300lhv2_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-8300lhv2:-:*:*:*:*:*:*:*,vendor_only,2024-05-03,8.8,3.1,CWE-121|CWE-787,Maybe,Low,DCS-8300LHV2 naming pattern is consistent with D-Link's home baby monitor line (similar to DCS-8000LH); however without explicit baby monitor designation it could be a general home IP camera,No,High,,Yes,High,,No,not a baby monitor - general cam,No,"D-Link DCS-8300LHV2 is a general IP camera — belongs in cameras, not babymonitor."
C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-51625,"D-Link DCS-8300LHV2 ONVIF SetSystemDateAndTime Command Injection Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of D-Link DCS-8300LHV2 IP cameras. Although authentication is required to exploit this vulnerability, the existing authentication mechanism can be bypassed.

The specific flaw exists within the implementation of the ONVIF API, which listens on TCP port 80. When parsing the sch:TZ XML element, the process does not properly validate a user-supplied string before using it to execute a system call. An attacker can leverage this vulnerability to execute code in the context of root. Was ZDI-CAN-21319.",cpe:2.3:o:dlink:dcs-8300lhv2_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-8300lhv2:-:*:*:*:*:*:*:*,vendor_only,2024-05-03,8.0,3.1,CWE-78,Maybe,Low,DCS-8300LHV2 naming pattern is consistent with D-Link's home baby monitor line; however without explicit baby monitor designation it could be a general home IP camera,No,High,,Yes,High,,No,,No,"General IP/surveillance camera product — belongs in cameras, not babymonitor."
C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-51626,"D-Link DCS-8300LHV2 RTSP ValidateAuthorizationHeader Username Stack-Based Buffer Overflow Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of D-Link DCS-8300LHV2 IP cameras. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the handling of the Authorization header by the RTSP server, which listens on TCP port 554. The issue results from the lack of proper validation of the length of user-supplied data prior to copying it to a fixed-length stack-based buffer. An attacker can leverage this vulnerability to execute code in the context of root. Was ZDI-CAN-21320.",cpe:2.3:o:dlink:dcs-8300lhv2_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-8300lhv2:-:*:*:*:*:*:*:*,vendor_only,2024-05-03,8.8,3.1,CWE-121|CWE-787,Maybe,Low,DCS-8300LHV2 naming pattern is consistent with D-Link's home baby monitor line; however without explicit baby monitor designation it could be a general home IP camera,No,High,,Yes,High,,No,,No,"General IP/surveillance camera product — belongs in cameras, not babymonitor."
C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-51627,"D-Link DCS-8300LHV2 ONVIF Duration Stack-Based Buffer Overflow Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of D-Link DCS-8300LHV2 IP cameras. Although authentication is required to exploit this vulnerability, the existing authentication mechanism can be bypassed.

The specific flaw exists within the parsing of Duration XML elements. The issue results from the lack of proper validation of the length of user-supplied data prior to copying it to a fixed-length stack-based buffer. An attacker can leverage this vulnerability to execute code in the context of root. Was ZDI-CAN-21321.",cpe:2.3:o:dlink:dcs-8300lhv2_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-8300lhv2:-:*:*:*:*:*:*:*,vendor_only,2024-05-03,8.0,3.1,CWE-121|CWE-787,Maybe,Low,DCS-8300LHV2 naming pattern is consistent with D-Link's home baby monitor line; however without explicit baby monitor designation it could be a general home IP camera,No,High,,Yes,High,,No,,No,"General IP/surveillance camera product — belongs in cameras, not babymonitor."
C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-51628,"D-Link DCS-8300LHV2 ONVIF SetHostName Stack-Based Buffer Overflow Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of D-Link DCS-8300LHV2 IP cameras. Although authentication is required to exploit this vulnerability, the existing authentication mechanism can be bypassed.

The specific flaw exists within the handling of the SetHostName ONVIF call. The issue results from the lack of proper validation of the length of user-supplied data prior to copying it to a fixed-length stack-based buffer. An attacker can leverage this vulnerability to execute code in the context of root. Was ZDI-CAN-21322.",cpe:2.3:o:dlink:dcs-8300lhv2_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-8300lhv2:-:*:*:*:*:*:*:*,vendor_only,2024-05-03,8.0,3.1,CWE-121|CWE-787,Maybe,Low,DCS-8300LHV2 naming pattern is consistent with D-Link's home baby monitor line; however without explicit baby monitor designation it could be a general home IP camera,No,High,,Yes,High,,No,,No,"General IP/surveillance camera product — belongs in cameras, not babymonitor."
C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-51629,"D-Link DCS-8300LHV2 ONVIF Hardcoded PIN Authentication Bypass Vulnerability. This vulnerability allows network-adjacent attackers to bypass authentication on affected installations of D-Link DCS-8300LHV2 IP cameras. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the configuration of the ONVIF API. The issue results from the use of a hardcoded PIN. An attacker can leverage this vulnerability to bypass authentication on the system. Was ZDI-CAN-21492.",cpe:2.3:o:dlink:dcs-8300lhv2_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-8300lhv2:-:*:*:*:*:*:*:*,vendor_only,2024-05-03,8.8,3.1,CWE-259|CWE-798,Maybe,Low,DCS-8300LHV2 naming pattern is consistent with D-Link's home baby monitor line; however without explicit baby monitor designation it could be a general home IP camera,No,High,,Yes,High,,No,,No,"General IP/surveillance camera product — belongs in cameras, not babymonitor."
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2024-44589,Stack overflow vulnerability in the Login function in the HNAP service in D-Link DCS-960L with firmware 1.09 allows attackers to execute of arbitrary code.,cpe:2.3:o:dlink:dcs-960l_firmware:1.09:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-960l:-:*:*:*:*:*:*:*,vendor_only,2024-09-18,8.8,3.1,CWE-121,No,Low,"This D-Link DCS model is a general-purpose indoor home Wi-Fi/network camera (cameras category); physically similar to and sometimes repurposed as a baby monitor, but not part of D-Link's dedicated EyeOn baby-monitor line, so it is classified as a camera rather than a baby monitor.",No,High,,Yes,High,,No,,No,D-Link DCS models are general IP/security cameras — wrong device class for baby monitors.
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2024-37606,A Stack overflow vulnerability in D-Link DCS-932L REVB_FIRMWARE_2.18.01 allows attackers to cause a Denial of Service (DoS) via a crafted HTTP request.,cpe:2.3:o:dlink:dcs-932l_firmware:2.18.01:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-932l:-:*:*:*:*:*:*:*,vendor_only,2024-12-17,6.5,3.1,CWE-120,No,Low,"This D-Link DCS model is a general-purpose indoor home Wi-Fi/network camera (cameras category); physically similar to and sometimes repurposed as a baby monitor, but not part of D-Link's dedicated EyeOn baby-monitor line, so it is classified as a camera rather than a baby monitor.",No,High,,Yes,High,,No,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2025-4841,A vulnerability was found in D-Link DCS-932L 2.18.01 and classified as critical. Affected by this issue is the function sub_404780 of the file /bin/gpio. The manipulation of the argument CameraName leads to stack-based buffer overflow. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. This vulnerability only affects products that are no longer supported by the maintainer.,cpe:2.3:o:dlink:dcs-932l_firmware:2.18.01:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-932l:-:*:*:*:*:*:*:*,vendor_only,2025-05-17,9.8,3.1,CWE-119|CWE-121|CWE-787,No,Low,"This D-Link DCS model is a general-purpose indoor home Wi-Fi/network camera (cameras category); physically similar to and sometimes repurposed as a baby monitor, but not part of D-Link's dedicated EyeOn baby-monitor line, so it is classified as a camera rather than a baby monitor.",No,High,,Yes,High,,No,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2025-4842,A vulnerability was found in D-Link DCS-932L 2.18.01. It has been declared as critical. This vulnerability affects the function isUCPCameraNameChanged of the file /sbin/ucp. The manipulation of the argument CameraName leads to stack-based buffer overflow. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used. This vulnerability only affects products that are no longer supported by the maintainer.,cpe:2.3:o:dlink:dcs-932l_firmware:2.18.01:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-932l:-:*:*:*:*:*:*:*,vendor_only,2025-05-17,9.8,3.1,CWE-119|CWE-121|CWE-787,No,Low,"This D-Link DCS model is a general-purpose indoor home Wi-Fi/network camera (cameras category); physically similar to and sometimes repurposed as a baby monitor, but not part of D-Link's dedicated EyeOn baby-monitor line, so it is classified as a camera rather than a baby monitor.",No,High,,Yes,High,,No,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2025-4843,A vulnerability was found in D-Link DCS-932L 2.18.01. It has been classified as critical. This affects the function SubUPnPCSInit of the file /sbin/udev. The manipulation of the argument CameraName leads to stack-based buffer overflow. It is possible to initiate the attack remotely. The exploit has been disclosed to the public and may be used. This vulnerability only affects products that are no longer supported by the maintainer.,cpe:2.3:o:dlink:dcs-932l_firmware:2.18.01:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-932l:-:*:*:*:*:*:*:*,vendor_only,2025-05-18,9.8,3.1,CWE-119|CWE-121|CWE-787,No,Low,"This D-Link DCS model is a general-purpose indoor home Wi-Fi/network camera (cameras category); physically similar to and sometimes repurposed as a baby monitor, but not part of D-Link's dedicated EyeOn baby-monitor line, so it is classified as a camera rather than a baby monitor.",No,High,,Yes,High,,No,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2025-5215,A vulnerability classified as critical has been found in D-Link DCS-5020L 1.01_B2. This affects the function websReadEvent of the file /rame/ptdc.cgi. The manipulation of the argument Authorization leads to stack-based buffer overflow. It is possible to initiate the attack remotely. The exploit has been disclosed to the public and may be used. This vulnerability only affects products that are no longer supported by the maintainer.,cpe:2.3:o:dlink:dcs-5020l_firmware:1.01_b2:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5020l:-:*:*:*:*:*:*:*,vendor_only,2025-05-27,9.8,3.1,CWE-119|CWE-121|CWE-787,No,Low,"This D-Link DCS model is a general-purpose indoor home Wi-Fi/network camera (cameras category); physically similar to and sometimes repurposed as a baby monitor, but not part of D-Link's dedicated EyeOn baby-monitor line, so it is classified as a camera rather than a baby monitor.",No,High,,Yes,High,,No,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2025-5571,A vulnerability was found in D-Link DCS-932L 2.18.01. It has been classified as critical. Affected is the function setSystemAdmin of the file /setSystemAdmin. The manipulation of the argument AdminID leads to os command injection. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. This vulnerability only affects products that are no longer supported by the maintainer.,cpe:2.3:o:dlink:dcs-932l_firmware:2.18.01:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-932l:-:*:*:*:*:*:*:*,vendor_only,2025-06-04,8.8,3.1,CWE-77|CWE-78,No,Low,"This D-Link DCS model is a general-purpose indoor home Wi-Fi/network camera (cameras category); physically similar to and sometimes repurposed as a baby monitor, but not part of D-Link's dedicated EyeOn baby-monitor line, so it is classified as a camera rather than a baby monitor.",No,High,,Yes,High,,No,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2025-5572,A vulnerability was found in D-Link DCS-932L 2.18.01. It has been declared as critical. Affected by this vulnerability is the function setSystemEmail of the file /setSystemEmail. The manipulation of the argument EmailSMTPPortNumber leads to stack-based buffer overflow. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. This vulnerability only affects products that are no longer supported by the maintainer.,cpe:2.3:o:dlink:dcs-932l_firmware:2.18.01:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-932l:-:*:*:*:*:*:*:*,vendor_only,2025-06-04,7.5,3.1,CWE-119|CWE-121|CWE-787,No,Low,"This D-Link DCS model is a general-purpose indoor home Wi-Fi/network camera (cameras category); physically similar to and sometimes repurposed as a baby monitor, but not part of D-Link's dedicated EyeOn baby-monitor line, so it is classified as a camera rather than a baby monitor.",No,High,,Yes,High,,No,,No,
