Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Review Status,Needs Human Review,Review Reason,Final Judgment,Final Source
vendor_only,CVE-2016-4526,2016-09-19,ABB DataManagerPro 1.x before 1.7.1 allows local users to gain privileges by replacing a DLL file in the package directory.,7.5,3.0,CWE-427,cpe:2.3:a:trane:tracer_sc:*:*:*:*:*:*:*:*,No,Low,"Both ABB DataManagerPro and Trane Tracer SC (per CPE) are commercial building automation systems, not residential smart thermostats",No,High,,No,High,,complete,No,,No,ai-consensus
vendor_only,CVE-2018-10122,2018-04-16,QingDao Nature Easy Soft Chanzhi Enterprise Portal System (aka chanzhieps) pro1.6 allows remote attackers to read arbitrary files via directory traversal sequences in the pathname parameter to www/file.php.,7.5,3.0,CWE-22,cpe:2.3:a:chanzhi:chanzhi:pro1.6:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus
vendor_only,CVE-2018-6402,2020-04-14,"Ecobee Ecobee4 4.2.0.171 devices can be forced to deauthenticate and connect to an unencrypted Wi-Fi network with the same SSID, even if the device settings specify use of encryption such as WPA2, as long as the competing network has a stronger signal. An attacker must be able to set up a nearby SSID, similar to an ""Evil Twin"" attack.",7.5,3.1,CWE-327,cpe:2.3:o:ecobee:ecobee4_firmware:4.2.0.171:*:*:*:*:*:*:*|cpe:2.3:h:ecobee:ecobee4:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus
vendor_only,CVE-2021-27952,2021-08-03,Hardcoded default root credentials exist on the ecobee3 lite 4.5.81.200 device. This allows a threat actor to gain access to the password-protected bootloader environment through the serial console.,9.8,3.1,CWE-798,cpe:2.3:o:ecobee:ecobee3_lite_firmware:4.5.81.200:*:*:*:*:*:*:*|cpe:2.3:h:ecobee:ecobee3_lite:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus
vendor_only,CVE-2021-27953,2021-08-03,"A NULL pointer dereference vulnerability exists on the ecobee3 lite 4.5.81.200 device in the HomeKit Wireless Access Control setup process. A threat actor can exploit this vulnerability to cause a denial of service, forcing the device to reboot via a crafted HTTP request.",7.5,3.1,CWE-476,cpe:2.3:o:ecobee:ecobee3_lite_firmware:4.5.81.200:*:*:*:*:*:*:*|cpe:2.3:h:ecobee:ecobee3_lite:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus
vendor_only,CVE-2021-27954,2021-08-03,A heap-based buffer overflow vulnerability exists on the ecobee3 lite 4.5.81.200 device in the HKProcessConfig function of the HomeKit Wireless Access Control setup process. A threat actor can exploit this vulnerability to force the device to connect to a SSID or cause a denial of service.,8.2,3.1,CWE-787,cpe:2.3:o:ecobee:ecobee3_lite_firmware:4.5.81.200:*:*:*:*:*:*:*|cpe:2.3:h:ecobee:ecobee3_lite:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus
vendor_only,CVE-2021-38448,2021-11-22,"The affected controllers do not properly sanitize the input containing code syntax. As a result, an attacker could craft code to alter the intended controller flow of the software.",7.6,3.1,CWE-94,cpe:2.3:a:trane:symbio_700:*:*:*:*:*:*:*:*|cpe:2.3:h:trane:odyssey_split_systems:-:*:*:*:*:*:*:*|cpe:2.3:a:trane:symbio_800:*:*:*:*:*:*:*:*|cpe:2.3:h:trane:intellipak_1:-:*:*:*:*:*:*:*|cpe:2.3:h:trane:intellipak_2:-:*:*:*:*:*:*:*|cpe:2.3:h:trane:ascend_air-cooled_chiller_acr:-:*:*:*:*:*:*:*,No,Low,"Trane Symbio 700/800 are HVAC system controllers for commercial Trane Odyssey split systems in commercial buildings, not residential smart thermostats",No,High,,No,High,,complete,No,,No,ai-consensus
vendor_only,CVE-2023-33383,2023-08-02,Shelly 4PM Pro four-channel smart switch 0.11.0 allows an attacker to trigger a BLE out of bounds read fault condition that results in a device reload.,5.3,3.1,CWE-125,cpe:2.3:o:shelly:pro_4pm_firmware:0.11.0:*:*:*:*:*:*:*|cpe:2.3:h:shelly:pro_4pm:-:*:*:*:*:*:*:*,No,High,,,,,No,High,,incomplete,,,,incomplete
vendor_only,CVE-2023-6339,2024-01-02,Google Nest WiFi Pro root code-execution & user-data compromise,9.8,3.1,CWE-311,cpe:2.3:o:google:nest_wifi_pro_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:google:nest_wifi_pro:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus
vendor_only,CVE-2025-7718,2025-09-10,"The Resideo Plugin for Resideo - Real Estate WordPress Theme plugin for WordPress is vulnerable to privilege escalation via account takeover in all versions up to, and including, 2.5.4. This is due to the plugin not properly validating a user's identity prior to updating their details like email. This makes it possible for authenticated attackers, with Subscriber-level access and above, to change arbitrary user's email addresses, including administrators, and leverage that to reset the user's password and gain access to their account.",8.8,3.1,CWE-639,,No,Low,"The name coincides with Resideo (Honeywell Home) thermostats, but this CVE is in a 'Resideo' real-estate WordPress theme plugin - a web theme unrelated to any thermostat device.",No,High,,No,High,,complete,No,,No,ai-consensus
vendor_only,CVE-2025-11243,2025-11-19,Allocation of Resources Without Limits or Throttling vulnerability in Shelly Pro 4PM (before v1.6) allows Excessive Allocation via network.,,,CWE-770,,No,High,,,,,No,High,,incomplete,,,,incomplete
vendor_only,CVE-2025-12056,2025-11-19,Out-of-bounds Read in Shelly Pro 3EM (before v1.4.4) allows Overread Buffers.,,,CWE-125,,No,High,,,,,No,High,,incomplete,,,,incomplete
vendor_only,CVE-2022-50918,2026-01-13,VIVE Runtime Service 1.0.0.4 contains an unquoted service path vulnerability that allows local users to execute arbitrary code with elevated system privileges. Attackers can exploit the unquoted binary path by placing malicious executables in specific system directories to gain LocalSystem access during service startup.,8.4,3.1,CWE-428,,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus
vendor_only,CVE-2026-28252,2026-03-12,"A Use of a Broken or Risky Cryptographic Algorithm vulnerability in Trane Tracer SC, Tracer SC+, and Tracer Concierge could allow an attacker to bypass authentication and gain root-level access to the device.",9.8,3.1,CWE-327,cpe:2.3:o:trane:tracer_sc_firmware:*:*:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack1:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack2:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack3:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack4:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack5:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack6:*:*:*:*:*:*|cpe:2.3:h:trane:tracer_sc:*:*:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc\+_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:trane:tracer_sc\+:*:*:*:*:*:*:*:*|cpe:2.3:a:trane:tracer_concierge:*:*:*:*:*:*:*:*,No,Low,"Trane Tracer SC/SC+/Concierge are commercial building automation controllers for large facility HVAC, not residential smart thermostats",No,High,,No,High,,complete,No,,No,ai-consensus
vendor_only,CVE-2026-28253,2026-03-12,"A Memory Allocation with Excessive Size Value vulnerability in Trane Tracer SC, Tracer SC+, and Tracer Concierge could allow an unauthenticated attacker to cause a denial-of-service condition",7.5,3.1,CWE-789,cpe:2.3:o:trane:tracer_sc_firmware:*:*:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack1:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack2:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack3:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack4:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack5:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack6:*:*:*:*:*:*|cpe:2.3:h:trane:tracer_sc:*:*:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc\+_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:trane:tracer_sc\+:*:*:*:*:*:*:*:*|cpe:2.3:a:trane:tracer_concierge:*:*:*:*:*:*:*:*,No,Low,Same as CVE-2026-28252; commercial building automation context,No,High,,No,High,,complete,No,,No,ai-consensus
vendor_only,CVE-2026-28254,2026-03-12,"A Missing Authorization vulnerability in Trane Tracer SC, Tracer SC+, and Tracer Concierge could allow an unauthenticated attacker to access sensitive information through unprotected APIs.",7.5,3.1,CWE-862,cpe:2.3:o:trane:tracer_sc_firmware:*:*:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack1:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack2:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack3:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack4:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack5:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack6:*:*:*:*:*:*|cpe:2.3:h:trane:tracer_sc:*:*:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc\+_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:trane:tracer_sc\+:*:*:*:*:*:*:*:*|cpe:2.3:a:trane:tracer_concierge:*:*:*:*:*:*:*:*,No,Low,Same as CVE-2026-28252; commercial building automation context,No,High,,No,High,,complete,No,,No,ai-consensus
vendor_only,CVE-2026-28255,2026-03-12,"A Use of Hard-coded Credentials vulnerability in Trane Tracer SC, Tracer SC+, and Tracer Concierge could allow an attacker to disclose sensitive information and take over accounts.",9.8,3.1,CWE-798,cpe:2.3:o:trane:tracer_sc_firmware:*:*:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack1:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack2:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack3:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack4:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack5:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack6:*:*:*:*:*:*|cpe:2.3:h:trane:tracer_sc:*:*:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc\+_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:trane:tracer_sc\+:*:*:*:*:*:*:*:*|cpe:2.3:a:trane:tracer_concierge:*:*:*:*:*:*:*:*,No,Low,Same as CVE-2026-28252; commercial building automation context,No,High,,No,High,,complete,No,,No,ai-consensus
vendor_only,CVE-2026-28256,2026-03-12,"A Use of Hard-coded, Security-relevant Constants vulnerability in Trane Tracer SC, Tracer SC+, and Tracer Concierge could allow an attacker to disclose sensitive information and take over accounts.",9.8,3.1,CWE-547,cpe:2.3:o:trane:tracer_sc\+_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:trane:tracer_sc\+:*:*:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:*:*:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack1:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack2:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack3:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack4:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack5:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:service_pack6:*:*:*:*:*:*|cpe:2.3:h:trane:tracer_sc:*:*:*:*:*:*:*:*|cpe:2.3:a:trane:tracer_concierge:*:*:*:*:*:*:*:*,No,Low,Same as CVE-2026-28252; commercial building automation context,No,High,,No,High,,complete,No,,No,ai-consensus
keyword_only,CVE-2018-13213,2018-07-05,"The sell function of a smart contract implementation for TravelCoin (TRV), an Ethereum token, has an integer overflow in which ""amount * sellPrice"" can be zero, consequently reducing a seller's assets.",7.5,3.0,CWE-190,cpe:2.3:a:travelcoin:travelcoin:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus
keyword_only,CVE-2018-13581,2018-07-09,"The mintToken function of a smart contract implementation for TravelCoin (TRV), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",7.5,3.1,CWE-190,cpe:2.3:a:travelcoins:travelcointoken:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus
intersection,CVE-2014-8120,2014-12-18,"The agent in Thermostat before 1.0.6, when using unspecified configurations, allows local users to obtain the JMX management URLs of all local Java virtual machines and gain privileges via unknown vectors.",4.4,2.0,,cpe:2.3:a:thermostat_project:thermostat:*:*:*:*:*:*:*:*,No,High,,,,,No,High,,incomplete,,,,incomplete
intersection,CVE-2018-11315,2018-05-20,"The Local HTTP API in Radio Thermostat CT50 and CT80 1.04.84 and below products allows unauthorized access via a DNS rebinding attack. This can result in remote device temperature control, as demonstrated by a tstat t_heat request that accesses a device purchased in the Spring of 2018, and sets a home's target temperature to 95 degrees Fahrenheit. This vulnerability might be described as an addendum to CVE-2013-4860.",6.5,3.0,CWE-20,cpe:2.3:o:radiothermostat:ct50_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:radiothermostat:ct50:-:*:*:*:*:*:*:*|cpe:2.3:o:radiothermostat:ct80_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:radiothermostat:ct80:-:*:*:*:*:*:*:*,Yes,High,,,,,Yes,High,,incomplete,,,,incomplete
intersection,CVE-2022-43704,2023-01-20,"The Sinilink XY-WFT1 WiFi Remote Thermostat, running firmware 1.3.6, allows an attacker to bypass the intended requirement to communicate using MQTT. It is possible to replay Sinilink aka SINILINK521 protocol (udp/1024) commands interfacing directly with the target device. This, in turn, allows for an attack to control the onboard relay without requiring authentication via the mobile application. This might result in an unacceptable temperature within the target device's physical environment.",5.9,3.1,CWE-294,cpe:2.3:o:sinilink:xy-wft1_firmware:1.3.6:*:*:*:*:*:*:*|cpe:2.3:h:sinilink:xy-wft1:-:*:*:*:*:*:*:*,Yes,High,,,,,Yes,High,,incomplete,,,,incomplete
intersection,CVE-2023-24678,2023-03-17,A vulnerability in Centralite Pearl Thermostat 0x04075010 allows attackers to cause a Denial of Service (DoS) via a crafted Zigbee message.,7.5,3.1,,cpe:2.3:o:centralite:pearl_firmware:0x04075010:*:*:*:*:*:*:*|cpe:2.3:h:centralite:pearl:-:*:*:*:*:*:*:*,Yes,High,,,,,Yes,High,,incomplete,,,,incomplete
intersection,CVE-2013-4860,2014-06-05,"Radio Thermostat CT80 And CT50 with firmware 1.4.64 and earlier does not restrict access to the API, which allows remote attackers to change the operation mode, wifi connection settings, temperature thresholds, and other settings via unspecified vectors.",8.3,2.0,CWE-264,cpe:2.3:o:radiothermostat:ct50_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:radiothermostat:ct50:-:*:*:*:*:*:*:*|cpe:2.3:o:radiothermostat:ct80_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:radiothermostat:ct80:-:*:*:*:*:*:*:*,Yes,High,,,,,Yes,High,,incomplete,,,,incomplete
intersection,CVE-2015-3201,2015-06-08,"Thermostat before 2.0.0 uses world-readable permissions for the web.xml configuration file, which allows local users to obtain user credentials by reading the file.",2.1,2.0,CWE-200,cpe:2.3:a:redhat:thermostat:*:*:*:*:*:*:*:*,No,High,,,,,No,High,,incomplete,,,,incomplete
intersection,CVE-2023-4212,2023-08-22,"
​A command injection vulnerability exists in Trane XL824, XL850, XL1050, and Pivot thermostats allowing an attacker to execute arbitrary commands as root using a specially crafted filename. The vulnerability requires physical access to the device via a USB stick.

",6.8,3.1,CWE-74|CWE-77,cpe:2.3:o:trane:xl824_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:trane:xl824:-:*:*:*:*:*:*:*|cpe:2.3:o:trane:xl850_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:trane:xl850:-:*:*:*:*:*:*:*|cpe:2.3:o:trane:xl1050_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:trane:xl1050:-:*:*:*:*:*:*:*|cpe:2.3:o:trane:pivot_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:trane:pivot:-:*:*:*:*:*:*:*,Yes,High,,,,,Yes,High,,incomplete,,,,incomplete
intersection,CVE-2023-42143,2024-01-23,Missing Integrity Check in Shelly TRV 20220811-152343/v2.1.8@5afc928c allows malicious users to create a backdoor by redirecting the device to an attacker-controlled machine which serves the manipulated firmware file. The device is updated with the manipulated firmware.,5.4,3.1,CWE-354,cpe:2.3:o:shelly:trv_firmware:2.1.8:*:*:*:*:*:*:*|cpe:2.3:h:shelly:trv:-:*:*:*:*:*:*:*,Yes,High,,No,High,,Yes,High,,complete,Yes,judgments not unanimous,Yes,human
intersection,CVE-2023-42144,2024-01-23,Cleartext Transmission during initial setup in Shelly TRV 20220811-15234 v.2.1.8 allows a local attacker to obtain the Wi-Fi password.,5.5,3.1,CWE-319,cpe:2.3:o:shelly:trv_firmware:2.1.8:*:*:*:*:*:*:*|cpe:2.3:h:shelly:trv:-:*:*:*:*:*:*:*,Yes,High,,No,High,,Yes,High,,complete,Yes,judgments not unanimous,Yes,human
intersection,CVE-2023-46892,2024-01-23,"The radio frequency communication protocol being used by Meross MSH30Q 4.5.23 is vulnerable to replay attacks, allowing attackers to record and replay previously captured communication to execute unauthorized commands or actions (e.g., thermostat's temperature).",8.8,3.1,CWE-294,cpe:2.3:o:meross:msh30q_firmware:4.5.23:*:*:*:*:*:*:*|cpe:2.3:h:meross:msh30q:-:*:*:*:*:*:*:*,Yes,High,,,,,Yes,High,,incomplete,,,,incomplete
intersection,CVE-2025-6260,2025-07-24,"The embedded web server on the thermostat listed version ranges contain a vulnerability that allows unauthenticated attackers, either on the local area network or from the Internet via a router with port forwarding set up, to gain direct access to the thermostat's embedded web server and reset user credentials by manipulating specific elements of the embedded web interface.",9.8,3.1,CWE-306,,Yes,High,,,,,Yes,High,,incomplete,,,,incomplete
intersection,CVE-2019-25708,2026-04-12,"Heatmiser Wifi Thermostat 1.7 contains a cross-site request forgery vulnerability that allows attackers to change administrator credentials by tricking authenticated users into submitting malicious requests. Attackers can craft HTML forms targeting the networkSetup.htm endpoint with parameters usnm, usps, and cfps to modify the admin username and password without user consent.",3.5,3.1,CWE-352,cpe:2.3:a:heatmiser:wifi_thermostat:1.7:*:*:*:*:*:*:*,Yes,High,,,,,Yes,High,,incomplete,,,,incomplete
intersection,CVE-2018-25396,2026-05-29,Heatmiser Wifi Thermostat 1.7 contains a credential disclosure vulnerability that allows unauthenticated attackers to retrieve administrative credentials by accessing the networkSetup.htm page. Attackers can request the networkSetup.htm endpoint and extract plaintext username and password values from HTML form fields to gain administrative access to the thermostat.,7.5,3.1,CWE-256,,Yes,High,,,,,Yes,High,,incomplete,,,,incomplete
