slug,facet,cpe_vendors
home-power,computeTier,enphase|victron|victronenergy
home-power,consumerAvailability,
home-power,credentialModel,victronenergy
home-power,firmwareUpdateModel,enphase
home-power,hasWebAdminUI,enphase
home-power,pairingModel,enphase|victronenergy
home-power,patchResponsibility,enphase|victronenergy
home-power,supportLifetime,victron|victronenergy
home-power,topology,enphase|victronenergy
hub,adminModel,hubitat|insteon|samsung
hub,cloudDependence,hubitat|insteon|samsung
hub,computeTier,hubitat|insteon|samsung
hub,firmwareUpdateModel,insteon|samsung
hub,hasWebAdminUI,hubitat|insteon
hub,pairingModel,silabs
hub,patchResponsibility,insteon|samsung
hub,supportLifetime,aqara|tapo|tp-link
lighting,adminModel,philips
lighting,cloudDependence,philips|signify
lighting,computeTier,philips|signify
lighting,credentialModel,philips
lighting,firmwareUpdateModel,philips
lighting,pairingModel,philips|tapo|tp-link
lighting,patchResponsibility,philips
lighting,supportLifetime,philips|signify
lighting,topology,philips|tapo|tp-link
pet,actuatesPhysical,furbo|petcube
pet,adminModel,furbo|petcube
pet,capturesAV,furbo|petcube
pet,cloudDependence,furbo|petcube
pet,computeTier,furbo
pet,credentialModel,furbo|petcube
pet,dataSensitivity,furbo|petcube
pet,firmwareUpdateModel,furbo|petcube
pet,hasWebAdminUI,furbo|petcube
pet,pairingModel,furbo
pet,patchResponsibility,furbo|petcube
pet,supportLifetime,furbo
pet,topology,furbo
robotvacuum,adminModel,ecovacs|roborock
robotvacuum,capturesAV,ecovacs|roborock
robotvacuum,computeTier,ecovacs
robotvacuum,credentialModel,ecovacs
robotvacuum,dataSensitivity,ecovacs|roborock
robotvacuum,firmwareUpdateModel,ecovacs
robotvacuum,hasWebAdminUI,roborock
robotvacuum,pairingModel,ecovacs
robotvacuum,patchResponsibility,ecovacs
robotvacuum,supportLifetime,roborock
robotvacuum,topology,ecovacs
sensors,computeTier,aqara
sensors,firmwareUpdateModel,aqara
sensors,supportLifetime,aqara|bosch
shades,supportLifetime,somfy
sleeptracker,cloudDependence,withings
sleeptracker,credentialModel,withings
sleeptracker,dataSensitivity,withings
sleeptracker,supportLifetime,withings
smartplugs,actuatesPhysical,tapo|tp-link
smartplugs,adminModel,belkin|tapo|tp-link
smartplugs,computeTier,belkin
smartplugs,consumerAvailability,tapo|tp-link
smartplugs,credentialModel,belkin
smartplugs,hasWebAdminUI,tapo|tp-link
smartplugs,pairingModel,belkin
smartplugs,patchResponsibility,belkin
smartplugs,supportLifetime,tapo|tp-link
smartplugs,topology,belkin
smartspeakers,adminModel,sonos
smartspeakers,capturesAV,amazon|sonos
smartspeakers,credentialModel,sonos
smartspeakers,dataSensitivity,amazon
smartspeakers,firmwareUpdateModel,amazon|google|sonos
smartspeakers,pairingModel,sonos
smartspeakers,patchResponsibility,amazon|sonos
smartspeakers,supportLifetime,amazon|google|sonos
smartspeakers,topology,sonos
streaming,computeTier,amazon
streaming,credentialModel,amazon|google
streaming,firmwareUpdateModel,amazon
streaming,patchResponsibility,amazon
streaming,supportLifetime,amazon|google
thermostat,adminModel,ecobee
thermostat,alsoDeployedIn,ecobee
thermostat,firmwareUpdateModel,ecobee|google|trane
thermostat,patchResponsibility,ecobee|google|trane
thermostat,supportLifetime,bosch|google
