category,device,vendor,product,cve_count,allowed_values,Value,Confidence,Reasoning
cameras,hikvision:ds-2cd3323g2-iu,hikvision,ds-2cd3323g2-iu,1,camera|recorder|other|unsure,camera,High,Hikvision DS-2CD = IP camera.
cameras,hikvision:ds-2cd3526g2-is,hikvision,ds-2cd3526g2-is,1,camera|recorder|other|unsure,camera,High,Hikvision DS-2CD = IP camera.
cameras,hikvision:ds-2df8242ix-aelw\(t3\),hikvision,ds-2df8242ix-aelw\(t3\),1,camera|recorder|other|unsure,camera,High,Hikvision DS-2DF = PTZ dome camera.
cameras,hikvision:ds-2df8250i8x-ael\(t3\),hikvision,ds-2df8250i8x-ael\(t3\),1,camera|recorder|other|unsure,camera,High,Hikvision DS-2DF = PTZ dome camera.
cameras,hikvision:ds-2df8425ix-ael\(t5\),hikvision,ds-2df8425ix-ael\(t5\),1,camera|recorder|other|unsure,camera,High,Hikvision DS-2DF = PTZ dome camera.
cameras,hikvision:ds-2dy9240ix-a\(t5\),hikvision,ds-2dy9240ix-a\(t5\),1,camera|recorder|other|unsure,camera,High,Hikvision DS-2DY = PTZ positioning camera.
cameras,hikvision:ds-2td1117-3\/pa,hikvision,ds-2td1117-3\/pa,1,camera|recorder|other|unsure,camera,High,Hikvision DS-2TD = thermal imaging camera.
cameras,hikvision:ds-2td1217b-3\/pa,hikvision,ds-2td1217b-3\/pa,1,camera|recorder|other|unsure,camera,High,Hikvision DS-2TD = thermal camera.
cameras,hikvision:ds-2td6267-50h4l\/w,hikvision,ds-2td6267-50h4l\/w,1,camera|recorder|other|unsure,camera,High,Hikvision DS-2TD = thermal camera.
cameras,hikvision:ds-7608ni-k1\/8p,hikvision,ds-7608ni-k1\/8p,1,camera|recorder|other|unsure,recorder,High,"Hikvision DS-76xxNI = network video recorder, 8-channel."
cameras,hikvision:ds-7616ni-q2\/16p,hikvision,ds-7616ni-q2\/16p,1,camera|recorder|other|unsure,recorder,High,"Hikvision DS-76xxNI = network video recorder, 16-channel."
cameras,hikvision:ds-k1t320mwx,hikvision,ds-k1t320mwx,2,camera|recorder|other|unsure,other,High,"Hikvision DS-K1T = access control terminal, not a camera or a recorder."
cameras,hikvision:ds-k1t341c,hikvision,ds-k1t341c,1,camera|recorder|other|unsure,other,High,Hikvision DS-K1T = access control / face terminal.
cameras,hikvision:ds-kh6320-wtde1,hikvision,ds-kh6320-wtde1,1,camera|recorder|other|unsure,other,Low,Hikvision DS-KH = video intercom indoor station; a display endpoint rather than a camera or recorder.
cameras,hikvision:nvr-116mh-c\(d\),hikvision,nvr-116mh-c\(d\),1,camera|recorder|other|unsure,recorder,High,Named NVR.
cameras,hikvision:nvr-208mh-c\/8p\(d\),hikvision,nvr-208mh-c\/8p\(d\),1,camera|recorder|other|unsure,recorder,High,Named NVR.
cameras,hisilicon:hi3510,hisilicon,hi3510,2,camera|recorder|other|unsure,other,Low,"HiSilicon Hi3510 is a camera SoC, a chipset rather than a finished device."
cameras,iodata:ts-wlc2_camera,iodata,ts-wlc2_camera,2,camera|recorder|other|unsure,camera,High,I-O Data TS-WLC2 network camera.
cameras,iodata:ts-wlcam_camera,iodata,ts-wlcam_camera,1,camera|recorder|other|unsure,camera,High,I-O Data network camera.
cameras,iodata:ts-wrlc_camera,iodata,ts-wrlc_camera,1,camera|recorder|other|unsure,camera,High,I-O Data network camera.
cameras,lg:lnd7210,lg,lnd7210,1,camera|recorder|other|unsure,camera,Low,LG LND series network dome camera; LG's surveillance line is less familiar than the majors.
cameras,meritlilin:z2r6452ax,meritlilin,z2r6452ax,3,camera|recorder|other|unsure,camera,Low,Merit LILIN Z series IP camera; part code alone carries little signal.
cameras,nadatel:at-0413s,nadatel,at-0413s,1,camera|recorder|other|unsure,recorder,Low,Nadatel AT series with a 04 channel count reads as a DVR; niche Korean brand.
cameras,nadatel:at-0815l,nadatel,at-0815l,1,camera|recorder|other|unsure,recorder,Low,"Nadatel AT series, 08 channels — recorder convention."
cameras,nadatel:at-1623m,nadatel,at-1623m,1,camera|recorder|other|unsure,recorder,Low,"Nadatel AT series, 16 channels — recorder convention."
cameras,nadatel:at-1643s,nadatel,at-1643s,1,camera|recorder|other|unsure,recorder,Low,"Nadatel AT series, 16 channels — recorder convention."
cameras,netgear:vmb30x0,netgear,vmb30x0,2,camera|recorder|other|unsure,other,Low,"Netgear Arlo VMB = base station / hub for the cameras, not itself a camera."
cameras,netgear:vmc3040,netgear,vmc3040,2,camera|recorder|other|unsure,camera,High,Netgear Arlo VMC = the camera unit itself (Arlo Q).
cameras,opticam:i5_application,opticam,i5_application,20,camera|recorder|other|unsure,camera,High,Opticam i5 IP camera; the _application suffix is a CPE artifact.
cameras,qnap:tl-d800c,qnap,tl-d800c,1,camera|recorder|other|unsure,other,High,"QNAP TL-D800C is an 8-bay JBOD storage enclosure, neither camera nor recorder."
cameras,sricam:sh016,sricam,sh016,1,camera|recorder|other|unsure,camera,Low,"Sricam sells consumer IP cameras only, but the part code carries no signal."
cameras,sricam:sp017,sricam,sp017,1,camera|recorder|other|unsure,camera,Low,Sricam SP series consumer IP camera; inferred from the brand's catalogue.
cameras,sunellsecurity:sn-adr3816e1,sunellsecurity,sn-adr3816e1,2,camera|recorder|other|unsure,recorder,Low,"Sunell ADR reads as an analog digital recorder, 16-channel."
cameras,swann:dvr16b,swann,dvr16b,1,camera|recorder|other|unsure,recorder,High,"Product name says DVR, 16-channel."
cameras,tp-link:tapo_c200,tp-link,tapo_c200,10,camera|recorder|other|unsure,camera,High,TP-Link Tapo C200 pan/tilt home camera.
cameras,tp-link:tapo_c260,tp-link,tapo_c260,3,camera|recorder|other|unsure,camera,High,TP-Link Tapo C260 home camera.
cameras,tp-link:tapo_c520ws,tp-link,tapo_c520ws,10,camera|recorder|other|unsure,camera,High,TP-Link Tapo C520WS outdoor pan/tilt camera.
cameras,tvt:td-2716td-hc,tvt,td-2716td-hc,1,camera|recorder|other|unsure,recorder,Low,TVT TD-27xx with a 16 channel count reads as a DVR; brand less familiar.
cameras,xiongmaitech:ahb7808r-mh-v3,xiongmaitech,ahb7808r-mh-v3,1,camera|recorder|other|unsure,recorder,Low,Xiongmai AHB78 series is an 8-channel AHD DVR board.
cameras,xiongmaitech:ipg-50h10pe-wk-2f,xiongmaitech,ipg-50h10pe-wk-2f,1,camera|recorder|other|unsure,camera,Low,Xiongmai IPG prefix denotes its IP camera modules.
cameras,xiongmaitech:ipg-53h13pe-s,xiongmaitech,ipg-53h13pe-s,1,camera|recorder|other|unsure,camera,Low,Xiongmai IPG = IP camera module.
cameras,xiongmaitech:ipg-53h13pls-s,xiongmaitech,ipg-53h13pls-s,1,camera|recorder|other|unsure,camera,Low,Xiongmai IPG = IP camera module.
cameras,xiongmaitech:ipg-53hv13pa-a,xiongmaitech,ipg-53hv13pa-a,1,camera|recorder|other|unsure,camera,Low,Xiongmai IPG = IP camera module.
cameras,xiongmaitech:ipg-53hv13pa-s,xiongmaitech,ipg-53hv13pa-s,1,camera|recorder|other|unsure,camera,Low,Xiongmai IPG = IP camera module.
cameras,xiongmaitech:ipm-50hv20pe-wr,xiongmaitech,ipm-50hv20pe-wr,1,camera|recorder|other|unsure,camera,Low,Xiongmai IPM = IP camera module.
cameras,xiongmaitech:ipm-53h13pe-wr,xiongmaitech,ipm-53h13pe-wr,1,camera|recorder|other|unsure,camera,Low,Xiongmai IPM = IP camera module.
cameras,xiongmaitech:nbd8004t-q,xiongmaitech,nbd8004t-q,1,camera|recorder|other|unsure,recorder,Low,Xiongmai NBD series are network video recorder boards.
cameras,xiongmaitech:nbd8016ra-ulk,xiongmaitech,nbd8016ra-ulk,1,camera|recorder|other|unsure,recorder,Low,"Xiongmai NBD series NVR board, 16-channel."
cameras,xiongmaitech:nbd80s10s-kl,xiongmaitech,nbd80s10s-kl,1,camera|recorder|other|unsure,recorder,Low,Xiongmai NBD series NVR board.
cameras,xiongmaitech:nbd8916f4-q,xiongmaitech,nbd8916f4-q,1,camera|recorder|other|unsure,recorder,Low,Xiongmai NBD series NVR board.
