Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict,Human Notes
C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2013-1391,"Authentication bypass vulnerability in the the web interface in Hunt CCTV, Capture CCTV, Hachi CCTV, NoVus CCTV, and Well-Vision Inc DVR systems allows a remote attacker to retrieve the device configuration.",cpe:2.3:o:huntcctv:dvr-04ch_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:huntcctv:dvr-04ch:-:*:*:*:*:*:*:*|cpe:2.3:o:huntcctv:dvr-04nc_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:huntcctv:dvr-04nc:-:*:*:*:*:*:*:*|cpe:2.3:o:huntcctv:dvr-08ch_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:huntcctv:dvr-08ch:-:*:*:*:*:*:*:*|cpe:2.3:o:huntcctv:dvr-08nc_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:huntcctv:dvr-08nc:-:*:*:*:*:*:*:*|cpe:2.3:o:huntcctv:dvr-16ch_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:huntcctv:dvr-16ch:-:*:*:*:*:*:*:*|cpe:2.3:o:huntcctv:dr6-704a4h_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:huntcctv:dr6-704a4h:-:*:*:*:*:*:*:*|cpe:2.3:o:huntcctv:dr6-708a4h_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:huntcctv:dr6-708a4h:-:*:*:*:*:*:*:*|cpe:2.3:o:huntcctv:dr6-7316a4h_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:huntcctv:dr6-7316a4h:-:*:*:*:*:*:*:*|cpe:2.3:o:huntcctv:dr6-7316a4hl_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:huntcctv:dr6-7316a4hl:-:*:*:*:*:*:*:*|cpe:2.3:o:huntcctv:hdr-04kd_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:huntcctv:hdr-04kd:-:*:*:*:*:*:*:*|cpe:2.3:o:huntcctv:hdr-08kd_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:huntcctv:hdr-08kd:-:*:*:*:*:*:*:*|cpe:2.3:o:capturecctv:cdr_0410ve_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:capturecctv:cdr_0410ve:-:*:*:*:*:*:*:*|cpe:2.3:o:capturecctv:cdr_0820vde_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:capturecctv:cdr_0820vde:-:*:*:*:*:*:*:*|cpe:2.3:o:hachi:hv-04rd_pro_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:hachi:hv-04rd_pro:-:*:*:*:*:*:*:*|cpe:2.3:o:hachi:hv-08rd_pro_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:hachi:hv-08rd_pro:-:*:*:*:*:*:*:*|cpe:2.3:o:novuscctv:nv-dvr1204_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:novuscctv:nv-dvr1204:-:*:*:*:*:*:*:*|cpe:2.3:o:novuscctv:nv-dvr1208_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:novuscctv:nv-dvr1208:-:*:*:*:*:*:*:*|cpe:2.3:o:novuscctv:nv-dvr1216_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:novuscctv:nv-dvr1216:-:*:*:*:*:*:*:*|cpe:2.3:o:vsp:tw-dvr604_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:vsp:tw-dvr604:-:*:*:*:*:*:*:*|cpe:2.3:o:vsp:tw-dvr616_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:vsp:tw-dvr616:-:*:*:*:*:*:*:*,vendor_only,2019-10-30,7.5,3.1,CWE-287,Maybe,Low,Unrecognized vendor but the description references a camera/surveillance device; home vs commercial deployment is unclear.,Yes,High,,Yes,High,,No,vendor makes stuff exclusively for professional deployments
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2013-3686,cgi-bin/operator/param in AirLive WL2600CAM and possibly other camera models allows remote attackers to obtain the administrator password via a list action.,cpe:2.3:h:ovislink:airlive_wl2600cam:-:*:*:*:*:*:*:*,vendor_only,2013-10-11,10.0,2.0,CWE-264,No,High,AirLive WL2600CAM (OvisLink) is a professional/commercial network camera.,No,High,,Yes,High,,No,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2013-3687,"AirLive POE2600HD, POE250HD, POE200HD, OD-325HD, OD-2025HD, OD-2060HD, POE100HD, and possibly other camera models use cleartext to store sensitive information, which allows attackers to obtain passwords, user names, and other sensitive information by reading an unspecified backup file.",cpe:2.3:h:ovislink:airlive_od-2025hd:-:*:*:*:*:*:*:*|cpe:2.3:h:ovislink:airlive_od-2060hd:-:*:*:*:*:*:*:*|cpe:2.3:h:ovislink:airlive_poe100hd:-:*:*:*:*:*:*:*|cpe:2.3:h:ovislink:airlive_poe200hd:-:*:*:*:*:*:*:*|cpe:2.3:h:ovislink:airlive_poe250hd:-:*:*:*:*:*:*:*|cpe:2.3:h:ovislink:airlive_poe2600hd:-:*:*:*:*:*:*:*,vendor_only,2013-10-11,7.8,2.0,CWE-310,No,High,"AirLive POE/OD-series (OvisLink) are professional outdoor/PoE surveillance cameras, not consumer home devices.",No,High,,Yes,High,,No,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2013-3540,"Cross-site request forgery (CSRF) vulnerability in cgi-bin/admin/usrgrp.cgi in AirLive POE2600HD, POE250HD, POE200HD, OD-325HD, OD-2025HD, OD-2060HD, POE100HD, and possibly other camera models allows remote attackers to hijack the authentication of administrators for requests that add users.",cpe:2.3:h:ovislink:airlive_od-2025hd:-:*:*:*:*:*:*:*|cpe:2.3:h:ovislink:airlive_od-2060hd:-:*:*:*:*:*:*:*|cpe:2.3:h:ovislink:airlive_poe100hd:-:*:*:*:*:*:*:*|cpe:2.3:h:ovislink:airlive_poe200hd:-:*:*:*:*:*:*:*|cpe:2.3:h:ovislink:airlive_poe250hd:-:*:*:*:*:*:*:*|cpe:2.3:h:ovislink:airlive_poe2600hd:-:*:*:*:*:*:*:*,vendor_only,2013-10-04,6.8,2.0,CWE-352,No,High,"AirLive POE/OD-series (OvisLink) are professional outdoor/PoE surveillance cameras, not consumer home devices.",No,High,,Yes,High,,No,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2013-3541,Directory traversal vulnerability in cgi-bin/admin/fileread in AirLive WL2600CAM and possibly other camera models allows remote attackers to read arbitrary files via a .. (dot dot) in the READ.filePath parameter.,cpe:2.3:h:ovislink:airlive_wl2600cam:-:*:*:*:*:*:*:*,vendor_only,2013-10-04,7.8,2.0,CWE-22,No,High,AirLive WL2600CAM (OvisLink) is a professional/commercial network camera.,No,High,,Yes,High,,No,
C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2013-3689,"Brickcom FB-100Ap, WCB-100Ap, MD-100Ap, WFB-100Ap, OB-100Ae, OSD-040E, and possibly other camera models with firmware 3.0.6.16C1 and earlier, do not properly restrict access to configfile.dump, which allow remote attackers to obtain sensitive information (user names, passwords, and configurations) via a get action.",cpe:2.3:o:brickcom:100ap_device_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:fb-100ap:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:md-100ap:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:ob-100ae:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:osd-040e:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:wcb-100ap:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:wfb-100ap:-:*:*:*:*:*:*:*,vendor_only,2013-10-04,7.8,2.0,CWE-264,Maybe,Low,Unrecognized vendor but the description references a camera/surveillance device; home vs commercial deployment is unclear.,No,High,,Yes,High,,No,vendor makes stuff exclusively for professional deployments
C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2013-3690,"Cross-site request forgery (CSRF) vulnerability in cgi-bin/users.cgi in Brickcom FB-100Ap, WCB-100Ap, MD-100Ap, WFB-100Ap, OB-100Ae, OSD-040E, and possibly other camera models with firmware 3.1.0.8 and earlier, allows remote attackers to hijack the authentication of administrators for requests that add users.",cpe:2.3:o:brickcom:100ap_device_firmware:3.1.0.8:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:fb-100ap:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:md-100ap:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:ob-100ae:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:osd-040e:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:wcb-100ap:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:wfb-100ap:-:*:*:*:*:*:*:*,vendor_only,2013-10-01,6.8,2.0,CWE-352,Maybe,Low,Unrecognized vendor but the description references a camera/surveillance device; home vs commercial deployment is unclear.,No,High,,Yes,High,,No,vendor makes stuff exclusively for professional deployments
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2013-0139,The Arecont Vision AV1355DN MegaDome camera allows remote attackers to cause a denial of service (video-capture outage) via a packet to UDP port 69.,cpe:2.3:h:arecont:vision_av1355dn_megadome_camera:-:*:*:*:*:*:*:*,vendor_only,2013-04-18,7.8,2.0,,No,High,"Arecont Vision AV1355DN MegaDome is a professional/commercial surveillance camera, not a consumer home device.",No,High,,Yes,High,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2014-8389,"cgi-bin/mft/wireless_mft.cgi in AirLive BU-2015 with firmware 1.03.18 16.06.2014, AirLive BU-3026 with firmware 1.43 21.08.2014, AirLive MD-3025 with firmware 1.81 21.08.2014, AirLive WL-2000CAM with firmware LM.1.6.18 14.10.2011, and AirLive POE-200CAM v2 with firmware LM.1.6.17.01 uses hard-coded credentials in the embedded Boa web server, which allows remote attackers to obtain user credentials via crafted HTTP requests.",cpe:2.3:o:airlive:bu-3026_firmware:1.43_21.08.2014:*:*:*:*:*:*:*|cpe:2.3:h:airlive:bu-3026:-:*:*:*:*:*:*:*|cpe:2.3:o:airlive:md-3025_firmware:1.81_21.08.2014:*:*:*:*:*:*:*|cpe:2.3:h:airlive:md-3025:-:*:*:*:*:*:*:*|cpe:2.3:o:airlive:wl-2000cam_firmware:lm.1.6.18_14.10.2011:*:*:*:*:*:*:*|cpe:2.3:h:airlive:wl-2000cam:-:*:*:*:*:*:*:*|cpe:2.3:o:airlive:poe-200cam_v2_firmware:lm.1.6.17.01:*:*:*:*:*:*:*|cpe:2.3:h:airlive:poe-200cam_v2:-:*:*:*:*:*:*:*|cpe:2.3:o:airlive:bu-2015_firmware:1.03.18_16.06.2014:*:*:*:*:*:*:*|cpe:2.3:h:airlive:bu-2015:-:*:*:*:*:*:*:*,vendor_only,2017-12-28,9.8,3.0,CWE-78,No,Low,Unrecognized vendor and no camera signal in the description; likely a brand-keyword collision rather than a home camera.,No,High,,Yes,High,,No,this is a pro device
C:Maybe/Low  X:No/High  G:No/High,judgments not unanimous,CVE-2014-9263,"Multiple buffer overflows in the PocketNetNVRMediaClientAxCtrl.NVRMediaViewer.1 control in 3S Pocketnet Tech VMS allow remote attackers to execute arbitrary code via a crafted string to the (1) StartRecord, (2) StartRecordEx, (3) StartScheduledRecord, (4) SetDisplayText, (5) GetONVIFDeviceInformation, (6) GetONVIFProfiles, or (7) GetONVIFStreamUri method or a crafted filename to the (8) SaveCurrentImage or (9) SaveCurrentImageEx method.",cpe:2.3:a:3s_pocketnet_tech:3s_pocketnet_tech_video_management_software:-:*:*:*:*:*:*:*,vendor_only,2014-12-08,6.8,2.0,CWE-119,Maybe,Low,Unrecognized vendor but the description references a camera/surveillance device; home vs commercial deployment is unclear.,No,High,,No,High,,No,vendor makes stuff exclusively for professional deployments
C:Maybe/Low  X:No/High  G:No/High,judgments not unanimous,CVE-2014-5618,"The Cartoon Camera (aka com.fingersoft.cartooncamera) application 1.2.2 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",cpe:2.3:a:fingersoft:cartoon_camera:1.2.2:*:*:*:*:android:*:*,vendor_only,2014-09-09,5.4,2.0,CWE-310,Maybe,Low,Unrecognized vendor but the description references a camera/surveillance device; home vs commercial deployment is unclear.,No,High,,No,High,,No,vendor makes stuff exclusively for professional deployments
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2014-1201,"Buffer overflow in the INetViewX ActiveX control in the Lorex Edge LH310 and Edge+ LH320 series with firmware 7-35-28-1B26E, Edge2 LH330 series with firmware 11.17.38-33_1D97A, and Edge3 LH340 series with firmware 11.19.85_1FE3A allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via a long string in the HTTP_PORT parameter.",cpe:2.3:a:lorex_technology:edge_lh310_firmware:7-35-28-1b26e:*:*:*:*:*:*:*|cpe:2.3:h:lorextechnology:edge:lh310:*:*:*:*:*:*:*|cpe:2.3:a:lorex_technology:edge3_lh340_firmware:11.19.85_1fe3a:*:*:*:*:*:*:*|cpe:2.3:h:lorextechnology:edge3:lh340:*:*:*:*:*:*:*|cpe:2.3:a:lorex_technology:edge2_lh330_firmware:11.17.38-33_1d97a:*:*:*:*:*:*:*|cpe:2.3:h:lorextechnology:edge2:lh330:*:*:*:*:*:*:*|cpe:2.3:a:lorex_technology:edge\+_lh320_firmware:7-35-28-1b26e:*:*:*:*:*:*:*|cpe:2.3:h:lorextechnology:edge\+:lh320:*:*:*:*:*:*:*,vendor_only,2014-01-15,10.0,2.0,CWE-119,No,Low,Unrecognized vendor and no camera signal in the description; likely a brand-keyword collision rather than a home camera.,No,High,,Yes,High,,No,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2015-2098,"Multiple stack-based buffer overflows in WebGate eDVR Manager allow remote attackers to execute arbitrary code via unspecified vectors to the (1) Connect, (2) ConnectEx, or (3) ConnectEx2 function in the WESPEvent.WESPEventCtrl.1 control; (4) AudioOnlySiteChannel function in the WESPPlayback.WESPPlaybackCtrl.1 control; (5) Connect or (6) ConnectEx function in the WESPPTZ.WESPPTZCtrl.1 control; (7) SiteChannel property in the WESPPlayback.WESPPlaybackCtrl.1 control; (8) SiteName property in the WESPPlayback.WESPPlaybackCtrl.1 control; or (9) OpenDVrSSite function in the WESPPTZ.WESPPTZCtrl.1 control.",cpe:2.3:a:webgateinc:edvr_manager:-:*:*:*:*:*:*:*,vendor_only,2021-07-22,8.8,3.1,CWE-120,No,High,"WebGate eDVR Manager is commercial DVR management software (ActiveX controls), not a consumer home camera.",No,High,,Yes,High,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2015-2100,Multiple stack-based buffer overflows in WebGate eDVR Manager and Control Center allow remote attackers to execute arbitrary code via unspecified vectors to the (1) TCPDiscover or (2) TCPDiscover2 function in the WESPDiscovery.WESPDiscoveryCtrl.1 control.,cpe:2.3:a:webgate:control_center:-:*:*:*:*:*:*:*|cpe:2.3:a:webgate:edvr_manager:-:*:*:*:*:*:*:*,vendor_only,2021-07-22,8.8,3.1,CWE-787,No,Low,Unrecognized vendor and no camera signal in the description; likely a brand-keyword collision rather than a home camera.,No,High,,Yes,High,,Maybe,"This is for some windows software, which is related to some dvr stuff, so not sure how to handle it"
