Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,AI Judgment,AI Confidence,AI Judgment Reasoning
vendor_only,CVE-2021-44369,2022-01-28,A denial of service vulnerability exists in the cgiserver.cgi JSON command parser functionality of reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. SetNtp param is not object. An attacker can send an HTTP request to trigger this vulnerability.,7.7,3.1,CWE-20,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-44370,2022-01-28,A denial of service vulnerability exists in the cgiserver.cgi JSON command parser functionality of reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. SetFtp param is not object. An attacker can send an HTTP request to trigger this vulnerability.,7.7,3.1,CWE-20,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-44371,2022-01-28,A denial of service vulnerability exists in the cgiserver.cgi JSON command parser functionality of reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. SetEmail param is not object. An attacker can send an HTTP request to trigger this vulnerability.,7.7,3.1,CWE-20,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-44372,2022-01-28,A denial of service vulnerability exists in the cgiserver.cgi JSON command parser functionality of reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. SetLocalLink param is not object. An attacker can send an HTTP request to trigger this vulnerability.,7.7,3.1,CWE-20,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-44373,2022-01-28,A denial of service vulnerability exists in the cgiserver.cgi JSON command parser functionality of reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. SetAutoFocus param is not object. An attacker can send an HTTP request to trigger this vulnerability.,7.7,3.1,CWE-20,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-44374,2022-01-28,A denial of service vulnerability exists in the cgiserver.cgi JSON command parser functionality of reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. SetMask param is not object. An attacker can send an HTTP request to trigger this vulnerability.,7.7,3.1,CWE-20,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-44376,2022-01-28,A denial of service vulnerability exists in the cgiserver.cgi JSON command parser functionality of reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. SetIsp param is not object. An attacker can send an HTTP request to trigger this vulnerability.,7.7,3.1,CWE-20,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-40414,2022-01-28,"An incorrect default permission vulnerability exists in the cgiserver.cgi cgi_check_ability functionality of reolink RLC-410W v3.0.0.136_20121102. The SetMdAlarm API sets the movement detection parameters, giving the ability to set the sensitivity of the camera per a range of hours, and which of the camera spaces to ignore when considering movement detection. Because in cgi_check_ability the SetMdAlarm API does not have a specific case, the user permission will default to 7. This will give non-administrative users the possibility to change the movement detection parameters.",7.1,3.1,CWE-284|CWE-276,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-40413,2022-01-28,"An incorrect default permission vulnerability exists in the cgiserver.cgi cgi_check_ability functionality of reolink RLC-410W v3.0.0.136_20121102. The UpgradePrepare is the API that checks if a provided filename identifies a new version of the RLC-410W firmware. If the version is new, it would be possible, allegedly, to later on perform the Upgrade. An attacker can send an HTTP request to trigger this vulnerability.",7.1,3.1,CWE-284|CWE-276,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-40412,2022-01-28,"An OScommand injection vulnerability exists in the device network settings functionality of reolink RLC-410W v3.0.0.136_20121102. At [8] the devname variable, that has the value of the name parameter provided through the SetDevName API, is not validated properly. This would lead to an OS command injection.",7.2,3.1,CWE-78,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2026-0919,2026-01-27,"The HTTP parser of Tapo C220 v1 and C520WS v2 cameras improperly handles requests containing an excessively long URL path. An invalid‑URL error path continues into cleanup code that assumes allocated buffers exist, leading to a crash and service restart. An unauthenticated attacker can force repeated service crashes or device reboots, causing denial of service.",7.5,3.1,CWE-20,cpe:2.3:o:tp-link:tapo_c220_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:tapo_c220:1:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:tapo_c520ws_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:tapo_c520ws:2:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2020-25169,2021-01-26,"The affected Reolink P2P products do not sufficiently protect data transferred between the local device and Reolink servers. This can allow an attacker to access sensitive information, such as camera feeds.",7.5,3.1,CWE-319,cpe:2.3:o:reolink:rln8-410_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rln8-410:-:*:*:*:*:*:*:*|cpe:2.3:o:reolink:rlc-422_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-422:-:*:*:*:*:*:*:*|cpe:2.3:o:reolink:rlc-510a_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-510a:-:*:*:*:*:*:*:*|cpe:2.3:o:reolink:rlc-410_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410:-:*:*:*:*:*:*:*|cpe:2.3:o:reolink:rlc-423s_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-423s:-:*:*:*:*:*:*:*|cpe:2.3:o:reolink:rlc-423_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-423:-:*:*:*:*:*:*:*|cpe:2.3:o:reolink:rlc-520a_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-520a:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2023-6323,2024-05-15,"ThroughTek Kalay SDK does not verify the authenticity of received messages, allowing an attacker to impersonate an authoritative server.",6.5,3.1,CWE-345,cpe:2.3:o:wyze:cam_v3_firmware:4.36.11.5859:*:*:*:*:*:*:*|cpe:2.3:h:wyze:cam_v3:-:*:*:*:*:*:*:*|cpe:2.3:o:roku:indoor_camera_se_firmware:3.0.2.4679:*:*:*:*:*:*:*|cpe:2.3:h:roku:indoor_camera_se:-:*:*:*:*:*:*:*|cpe:2.3:o:owletcare:cam_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:owletcare:cam:-:*:*:*:*:*:*:*|cpe:2.3:o:owletcare:cam_2_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:owletcare:cam_2:-:*:*:*:*:*:*:*|cpe:2.3:a:throughtek:kalay_platform:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2020-11445,2020-04-01,"TP-Link cloud cameras through 2020-02-09 allow remote attackers to bypass authentication and obtain sensitive information via vectors involving a Wi-Fi session with GPS enabled, aka CNVD-2020-04855.",5.3,3.1,,cpe:2.3:o:tp-link:nc450_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:nc450:-:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:nc260_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:nc260:-:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:nc250_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:nc250:-:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:nc230_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:nc230:-:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:nc220_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:nc220:-:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:nc210_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:nc210:-:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:nc200_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:nc200:-:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:kc300s2_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:kc300s2:-:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:kc310s2_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:kc310s2:-:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:kc200_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:kc200:-:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:tapo_c200_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:tapo_c200:-:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:tapo_c100_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:tapo_c100:-:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:tl-sc3430_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:tl-sc3430:-:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:tl-sc3430n_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:tl-sc3430n:-:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:tl-sc4171g_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:tl-sc4171g:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2020-7222,2020-01-18,An issue was discovered in Amcrest Web Server 2.520.AC00.18.R 2017-06-29 WEB 3.2.1.453504. The login page responds with JavaScript when one tries to authenticate. An attacker who changes the result parameter (to true) in this JavaScript code can bypass authentication and achieve limited privileges (ability to see every option but not modify them).,5.3,3.1,CWE-287,cpe:2.3:a:amcrest:web_server:2.520.ac00.18.r:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-40149,2022-07-17,The web server of the E1 Zoom camera through 3.0.0.716 discloses its SSL private key via the root web server directory. In this way an attacker can download the entire key via the /self.key URI.,5.9,3.1,CWE-552,cpe:2.3:o:reolink:e1_zoom_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:reolink:e1_zoom:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-40150,2022-07-17,The web server of the E1 Zoom camera through 3.0.0.716 discloses its configuration via the /conf/ directory that is mapped to a publicly accessible path. In this way an attacker can download the entire NGINX/FastCGI configurations by querying the /conf/nginx.conf or /conf/fastcgi.conf URI.,7.5,3.1,CWE-552,cpe:2.3:o:reolink:e1_zoom_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:reolink:e1_zoom:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-32941,2022-05-23,"Annke N48PBB (Network Video Recorder) products of version 3.4.106 build 200422 and prior are vulnerable to a stack-based buffer overflow, which allows an unauthorized remote attacker to execute arbitrary code with the same privileges as the server user (root).",9.8,3.1,CWE-121|CWE-787,cpe:2.3:o:annke:n48pbb_firmware:*:*:*:*:*:*:*:*|cpe:2.3:o:annke:n48pbb_firmware:3.4.106:-:*:*:*:*:*:*|cpe:2.3:o:annke:n48pbb_firmware:3.4.106:build_200422:*:*:*:*:*:*|cpe:2.3:h:annke:n48pbb:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-40405,2022-04-14,A denial of service vulnerability exists in the cgiserver.cgi Upgrade API functionality of Reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. An attacker can send an HTTP request to trigger this vulnerability.,6.5,3.1,CWE-284|CWE-404,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-44354,2022-04-14,Multiple denial of service vulnerabilities exist in the cgiserver.cgi JSON command parser functionality of Reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. An attacker can send an HTTP request to trigger this vulnerability.,7.5,3.1,CWE-20,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-44355,2022-04-14,Multiple denial of service vulnerabilities exist in the cgiserver.cgi JSON command parser functionality of Reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. An attacker can send an HTTP request to trigger this vulnerability.,7.5,3.1,CWE-20,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-44377,2022-01-28,A denial of service vulnerability exists in the cgiserver.cgi JSON command parser functionality of reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. SetImage param is not object. An attacker can send an HTTP request to trigger this vulnerability.,7.7,3.1,CWE-20,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-44356,2022-04-14,Multiple denial of service vulnerabilities exist in the cgiserver.cgi JSON command parser functionality of Reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. An attacker can send an HTTP request to trigger this vulnerability.,7.5,3.1,CWE-20,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-44366,2022-04-14,Multiple denial of service vulnerabilities exist in the cgiserver.cgi JSON command parser functionality of Reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. An attacker can send an HTTP request to trigger this vulnerability.,7.5,3.1,CWE-20,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-44375,2022-04-14,Multiple denial of service vulnerabilities exist in the cgiserver.cgi JSON command parser functionality of Reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. An attacker can send an HTTP request to trigger this vulnerability.,7.5,3.1,CWE-20,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-44394,2022-04-14,Multiple denial of service vulnerabilities exist in the cgiserver.cgi JSON command parser functionality of Reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. An attacker can send an HTTP request to trigger this vulnerability.,7.5,3.1,CWE-20,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-43517,2022-04-08,FOSCAM Camera FI9805E with firmware V4.02.R12.00018510.10012.143900.00000 contains a backdoor that opens Telnet port when special command is sent on port 9530.,9.8,3.1,,cpe:2.3:o:foscam:fi9805e_firmware:4.02.r12.00018510.10012.143900.00000:*:*:*:*:*:*:*|cpe:2.3:h:foscam:fi9805e:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-40404,2022-01-28,An authentication bypass vulnerability exists in the cgiserver.cgi Login functionality of reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to authentication bypass. An attacker can send an HTTP request to trigger this vulnerability.,6.5,3.1,CWE-284|CWE-287,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-40406,2022-01-28,A denial of service vulnerability exists in the cgiserver.cgi session creation functionality of reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to prevent users from logging in. An attacker can send an HTTP request to trigger this vulnerability.,7.5,3.1,CWE-400,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-40407,2022-01-28,"An OS command injection vulnerability exists in the device network settings functionality of reolink RLC-410W v3.0.0.136_20121102. At [1] or [2], based on DDNS type, the ddns->domain variable, that has the value of the domain parameter provided through the SetDdns API, is not validated properly. This would lead to an OS command injection. An attacker can send an HTTP request to trigger this vulnerability.",7.2,3.1,CWE-78,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-40408,2022-01-28,"An OS command injection vulnerability exists in the device network settings functionality of reolink RLC-410W v3.0.0.136_20121102. At [1] or [2], based on DDNS type, the ddns->username variable, that has the value of the userName parameter provided through the SetDdns API, is not validated properly. This would lead to an OS command injection.",9.8,3.1,CWE-78,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-40409,2022-01-28,"An OS command injection vulnerability exists in the device network settings functionality of reolink RLC-410W v3.0.0.136_20121102. At [1] or [2], based on DDNS type, the ddns->password variable, that has the value of the password parameter provided through the SetDdns API, is not validated properly. This would lead to an OS command injection.",9.8,3.1,CWE-78,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-40410,2022-01-28,"An OS command injection vulnerability exists in the device network settings functionality of reolink RLC-410W v3.0.0.136_20121102. At [4] the dns_data->dns1 variable, that has the value of the dns1 parameter provided through the SetLocal API, is not validated properly. This would lead to an OS command injection.",7.2,3.1,CWE-78,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2021-44357,2022-04-14,Multiple denial of service vulnerabilities exist in the cgiserver.cgi JSON command parser functionality of Reolink RLC-410W v3.0.0.136_20121102. A specially-crafted HTTP request can lead to a reboot. An attacker can send an HTTP request to trigger this vulnerability.,7.5,3.1,CWE-20,cpe:2.3:o:reolink:rlc-410w_firmware:3.0.0.136_20121102:*:*:*:*:*:*:*|cpe:2.3:h:reolink:rlc-410w:-:*:*:*:*:*:*:*,Yes,High,
