slug,label,facet,cardinality,allowed_values,kappa_band,facet_kappa,phase_a_verdict,modal_share,category_cves,scope_note,prefill_value,prefill_source,Verdict 1,Source 1,Category-Wide 1,Notes 1,coverage_verdict,resource_required,cited_vendors,cited_share,corpus_vendors,Verdict 2,Source 2,Category-Wide 2,Notes 2
babymonitor,baby monitor,hasWebAdminUI,single,true|false|unsure,stays-Estimated,0.3487,UNMEASURED,,18,IN: dedicated consumer baby monitors. OUT: generic IP cameras not sold as baby monitors (classify under cameras) and any enterprise surveillance gear.,true,author-prior,true,"D-Link, How do I manually upgrade the firmware on my camera - download the image and upload it through the camera's web UI at its internal IP address, https://www.dlink.com/en/support/faq/cameras-and-surveillance/dcs-series/dcs-2330l/how-do-i-manually-upgrade-the-firmware-on-my-camera",,"Author-prior kept, but I doubt it. Dedicated consumer baby monitors (Nanit, Owlet, Motorola) are app-only; the true-looking evidence comes from the generic IP cameras that CLAUDE.md records as ~95% contamination of this category's difference set. If the category is judged as scoped (dedicated baby monitors only) this should be false. Flagged as the cell in this category most likely to need reconciliation, and it is a knock-on effect of a known data-quality problem rather than a facet question.  RE-SOURCED 2026-08-17: the original citation covered ~0% of this category's confirmed-Yes CVE population; added the corpus-dominant vendor (D-Link 55%), sourced from the vulnerability research that produced its CVEs.",representative,,d-link|dlink,0.444,dlink 44% | summerinfant 11% | ibaby 11% | d-link 11% | mimobaby 6% | trendnet 6%,false,,,"The in-scope Nanit workflow is app-based; I found no persistent local browser administration. Column 1's browser UI belongs to an excluded generic D-Link camera, so this negative verdict is intentionally unsourced."
babymonitor,baby monitor,supportLifetime,single,DeclaredLifetime|UndeclaredLifetime|unsure,stays-Estimated,-0.3115,UNMEASURED,,18,IN: dedicated consumer baby monitors. OUT: generic IP cameras not sold as baby monitors (classify under cameras) and any enterprise surveillance gear.,UndeclaredLifetime,author-prior,DeclaredLifetime,"UK PSTI Regs 2023 Sch.1 req.3 + Sch.2 - defined support period must be published, https://www.legislation.gov.uk/uksi/2023/1007/schedule/1/made ; Nanit UK PSTI Statement of Compliance - security updates for a minimum of 2 years from date of purchase (models N301, N311, N322, L101), https://www.nanit.com/pages/uk-psti-statement-of-compliance ; Motorola UK PSTI Statement of Compliance for nursery products, https://www.motorolanursery.com/media/yyej5umo/vmxx_uk-psti-soc.pdf",yes,"Reverses the author-prior/Phase-A UndeclaredLifetime. Phase A sampled the devices in the CVE corpus, which are overwhelmingly pre-2024; the facet definition pins assessment to the 2026-08-05 snapshot vintage and warns regulation is moving this value. Since 29 Apr 2024 UK PSTI has compelled publication of a defined support period for every consumer connectable product sold in the UK, and this category's main vendors are complying. Jurisdiction limit: PSTI binds UK-market sales, not the category worldwide. Nanit's two-year period is the shortest I found anywhere on this sheet, which is notable for a device class bought for a multi-year use case.",regulation,,motorola|nanit,0.000,dlink 44% | summerinfant 11% | ibaby 11% | d-link 11% | mimobaby 6% | trendnet 6%,DeclaredLifetime,Nanit UK PSTI statement: https://www.nanit.com/pages/uk-psti-statement-of-compliance; UK PSTI Regulations 2023: https://www.legislation.gov.uk/uksi/2023/1007/pdfs/uksi_20231007_en.pdf,,"Verified a stated minimum support period in Nanit's PSTI declaration; the UK regime binds consumer connected baby monitors as a class. Category-wide claim withdrawn: the UK PSTI regime binds consumer connectable products placed on the UK market — a jurisdiction, not this device class — so it cannot promote the cell to Documented. The cited vendor holds 0% of this category's confirmed-Yes CVEs; the corpus is dominated by dlink 44%, for which no support declaration was found. Source retained as unrepresentative evidence."
babymonitor,baby monitor,alsoDeployedIn,multi,Commercial|Industrial|Prosumer|Residential|none|unsure,,,UNMEASURED,,18,IN: dedicated consumer baby monitors. OUT: generic IP cameras not sold as baby monitors (classify under cameras) and any enterprise surveillance gear.,none,author-prior,none,,,Author-prior kept; judged.,,,,,dlink 44% | summerinfant 11% | ibaby 11% | d-link 11% | mimobaby 6% | trendnet 6%,none,,,Checked the dedicated-monitor scope and Nanit's consumer documentation; I found no common commercial or industrial deployment. This negative market claim is not directly sourceable.
babymonitor,baby monitor,pairingModel,multi,AccountLinked|BleProvisioned|MeshJoin|QrPaired|SoftApPaired|WpsPaired|unsure,,,UNMEASURED,,18,IN: dedicated consumer baby monitors. OUT: generic IP cameras not sold as baby monitors (classify under cameras) and any enterprise surveillance gear.,AccountLinked|QrPaired|WpsPaired,author-prior,AccountLinked|QrPaired,,,DEVIATES from the author-prior by dropping WpsPaired (deprecated).,,,,,dlink 44% | summerinfant 11% | ibaby 11% | d-link 11% | mimobaby 6% | trendnet 6%,AccountLinked|BleProvisioned,Nanit pairing guide: https://support.nanit.com/en_us/pairing-the-camera-By48GhCFlg,,"Corrected QR pairing to BLE provisioning: Nanit instructs account sign-in, Bluetooth discovery, then Wi-Fi credentials."
babymonitor,baby monitor,patchResponsibility,multi,InstallerPatched|Unmaintained|UserPatched|VendorPatched|unsure,,,UNMEASURED,,18,IN: dedicated consumer baby monitors. OUT: generic IP cameras not sold as baby monitors (classify under cameras) and any enterprise surveillance gear.,UserPatched,author-prior,UserPatched,,,Author-prior kept; judged.,,,,,dlink 44% | summerinfant 11% | ibaby 11% | d-link 11% | mimobaby 6% | trendnet 6%,UserPatched,Nanit Camera/App 101: https://support.nanit.com/en_us/nanit-camera-app-101-rJZIfhAKee,,Verified that the app exposes an available firmware update for the owner to initiate; I did not count silent app delivery as device firmware patching.
babymonitor,baby monitor,topology,multi,DirectIP|HubMediated|MeshLeaf|unsure,,,UNMEASURED,,18,IN: dedicated consumer baby monitors. OUT: generic IP cameras not sold as baby monitors (classify under cameras) and any enterprise surveillance gear.,DirectIP,author-prior,DirectIP,,,Author-prior kept; judged.,,,,,dlink 44% | summerinfant 11% | ibaby 11% | d-link 11% | mimobaby 6% | trendnet 6%,DirectIP,Nanit local Wi-Fi connection note: https://support.nanit.com/en_us/android-17-nearby-devices-permission-B1ZleIwxMl,,Verified direct local camera-to-phone communication over the home Wi-Fi network.
doorbell,video doorbell,firmwareUpdateModel,single,ManualFlash|NoUpdatePath|OtaAutomatic|OtaUserInitiated|unsure,stays-Estimated,0.3882,summary-defensible,0.836,45,"IN: video/smart doorbells (Ring, Reolink, Foscam VD, Akuvox). OUT: standalone cameras (classify under cameras) and baby monitors (under babymonitor).",ManualFlash,phase-a-cve-weighted,ManualFlash,,,"KEPT the Phase-A value (0.836) AGAINST my own source, which is the honest way round. Ring - the market leader - is documented as automatic and not manually updatable (https://ring.com/support/articles/il7n0/How-Firmware-Works-in-Ring-Devices). Phase A measured the CVE-bearing population, which is weighted to Akuvox/Hikvision/Reolink-style web-upload doorphones, and the whole project weights by that corpus. Reviewer 2 should know the two readings point opposite ways: 'most doorbells sold' is OtaAutomatic, 'most doorbells with CVEs' is ManualFlash.",,,,,akuvox 36% | reolink 7% | nightowlsp 4% | siedle 4% | fermax 2% | comelitgroup 2%,ManualFlash,Akuvox device upgrade guide: https://knowledge.akuvox.com/docs/upgrade-devices,,"Verified manual firmware upload through the device web interface; the guide also describes cloud-platform deployment, but ManualFlash best matches the measured dominant path."
doorbell,video doorbell,hasWebAdminUI,single,true|false|unsure,stays-Estimated,0.3487,grouping-only,0.782,45,"IN: video/smart doorbells (Ring, Reolink, Foscam VD, Akuvox). OUT: standalone cameras (classify under cameras) and baby monitors (under babymonitor).",true,phase-a-cve-weighted,true,,,"Agrees with Phase A (0.782, grouping-only). Judged: the SIP/installer doorphones (Akuvox) carry a web admin, the consumer battery doorbells do not. Genuinely split.",,,,,akuvox 36% | reolink 7% | nightowlsp 4% | siedle 4% | fermax 2% | comelitgroup 2%,true,Akuvox door-phone configuration guide: https://knowledge.akuvox.com/docs/door-phone-configuration,,Verified that administrators browse to an Akuvox door phone's IP address and configure it through the web interface.
doorbell,video doorbell,supportLifetime,single,DeclaredLifetime|UndeclaredLifetime|unsure,stays-Estimated,-0.3115,summary-defensible,0.964,45,"IN: video/smart doorbells (Ring, Reolink, Foscam VD, Akuvox). OUT: standalone cameras (classify under cameras) and baby monitors (under babymonitor).",UndeclaredLifetime,phase-a-cve-weighted,DeclaredLifetime,"UK PSTI Regs 2023 Sch.1 req.3 + Sch.2 - defined support period must be published, https://www.legislation.gov.uk/uksi/2023/1007/schedule/1/made ; Ring UK PSTI Statement of Compliance (product support periods), https://assets.ctfassets.net/jrz4hnnvdyct/1HlksuPJo1aU2EGVXLdYTw/668b3ba32871eb6840da344b148d58b1/Ring_V2.3_UK_PSTI_Statement_Of_Compliance_240326.pdf ; Reolink UK PSTI Statement of Compliance, https://manuals.plus/m/7821b5be983e3c254c43cb32d573d4365569f91b7ff280c33317e04355dd99f5",yes,"Reverses the author-prior/Phase-A UndeclaredLifetime. Phase A sampled the devices in the CVE corpus, which are overwhelmingly pre-2024; the facet definition pins assessment to the 2026-08-05 snapshot vintage and warns regulation is moving this value. Since 29 Apr 2024 UK PSTI has compelled publication of a defined support period for every consumer connectable product sold in the UK, and this category's main vendors are complying. Jurisdiction limit: PSTI binds UK-market sales, not the category worldwide.",regulation,,reolink|ring,0.089,akuvox 36% | reolink 7% | nightowlsp 4% | siedle 4% | fermax 2% | comelitgroup 2%,DeclaredLifetime,Ring UK PSTI statement: https://assets.ctfassets.net/jrz4hnnvdyct/1HlksuPJo1aU2EGVXLdYTw/668b3ba32871eb6840da344b148d58b1/Ring_V2.3_UK_PSTI_Statement_Of_Compliance_240326.pdf; UK PSTI Regulations 2023: https://www.legislation.gov.uk/uksi/2023/1007/pdfs/uksi_20231007_en.pdf,,"Verified model-specific Ring support dates and the class-binding UK support-period requirement. Category-wide claim withdrawn: the UK PSTI regime binds consumer connectable products placed on the UK market — a jurisdiction, not this device class — so it cannot promote the cell to Documented. The cited vendor holds 0% of this category's confirmed-Yes CVEs; the corpus is dominated by akuvox 36%, for which no support declaration was found. Source retained as unrepresentative evidence."
doorbell,video doorbell,adminModel,multi,AppOnlyAdmin|CloudPortalAdmin|LocalWebAdmin|NoAdminInterface|unsure,,,UNMEASURED,,45,"IN: video/smart doorbells (Ring, Reolink, Foscam VD, Akuvox). OUT: standalone cameras (classify under cameras) and baby monitors (under babymonitor).",AppOnlyAdmin|LocalWebAdmin,author-prior,AppOnlyAdmin|LocalWebAdmin,,,Keeps the prefill; judged. Matches the split behind hasWebAdminUI.,,,,,akuvox 36% | reolink 7% | nightowlsp 4% | siedle 4% | fermax 2% | comelitgroup 2%,AppOnlyAdmin|LocalWebAdmin,Akuvox door-phone configuration guide: https://knowledge.akuvox.com/docs/door-phone-configuration; Ring video-doorbell setup guide: https://ring.com/gb/en/support/articles/0m8ts/doorbell-setup-guide?redirect=true,,"Verified both major administration patterns: corpus-leading Akuvox provides a local web interface, while consumer Ring doorbells are set up and managed in the app."
doorbell,video doorbell,alsoDeployedIn,multi,Commercial|Industrial|Prosumer|Residential|none|unsure,,,UNMEASURED,,45,"IN: video/smart doorbells (Ring, Reolink, Foscam VD, Akuvox). OUT: standalone cameras (classify under cameras) and baby monitors (under babymonitor).",Commercial,author-prior,Commercial,,,Keeps the prefill; judged - and consistent with consumerAvailability=InstallerChannel above. SIP door entry is a commercial product sold into homes.,,,,,akuvox 36% | reolink 7% | nightowlsp 4% | siedle 4% | fermax 2% | comelitgroup 2%,Commercial,Akuvox R29CT datasheet: https://www.akuvox.com/productsDownloadFile?did=253,,Verified Akuvox markets the same door-phone family for apartments and office/commercial access.
doorbell,video doorbell,credentialModel,multi,AccountBound|CertificateBound|DefaultPassword|ForcedCredentialSetup|NoCredential|unsure,,,UNMEASURED,,45,"IN: video/smart doorbells (Ring, Reolink, Foscam VD, Akuvox). OUT: standalone cameras (classify under cameras) and baby monitors (under babymonitor).",AccountBound|DefaultPassword,author-prior,AccountBound|DefaultPassword,,,Keeps the prefill; judged.,,,,,akuvox 36% | reolink 7% | nightowlsp 4% | siedle 4% | fermax 2% | comelitgroup 2%,AccountBound|DefaultPassword,Akuvox device access guide: https://knowledge.akuvox.com/docs/access-the-device-14; Ring video-doorbell setup guide: https://ring.com/gb/en/support/articles/0m8ts/doorbell-setup-guide?redirect=true,,Verified Akuvox's documented default web credentials and Ring's required account login for app administration.
doorbell,video doorbell,pairingModel,multi,AccountLinked|BleProvisioned|MeshJoin|QrPaired|SoftApPaired|WpsPaired|unsure,,,UNMEASURED,,45,"IN: video/smart doorbells (Ring, Reolink, Foscam VD, Akuvox). OUT: standalone cameras (classify under cameras) and baby monitors (under babymonitor).",AccountLinked|QrPaired|WpsPaired,author-prior,AccountLinked|QrPaired,,,Dropped WpsPaired (deprecated).,,,,,akuvox 36% | reolink 7% | nightowlsp 4% | siedle 4% | fermax 2% | comelitgroup 2%,AccountLinked|QrPaired,Ring video-doorbell setup guide: https://ring.com/gb/en/support/articles/0m8ts/doorbell-setup-guide?redirect=true,,"Verified account linking and QR scanning in Ring's setup guide. Corpus-leading Akuvox commonly uses Ethernet/IP discovery, for which pairingModel has no allowed value."
