Category,Direction,Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict 1,Human Notes 1,Human Verdict 2,Human Notes 2,Disagreement
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-12258,"An issue was discovered on Momentum Axel 720P 5.1.8 devices. Custom Firmware Upgrade is possible via an SD Card. With physical access, an attacker can upgrade the firmware in under 60 seconds by inserting an SD card containing the firmware with name 'ezviz.dav' and rebooting.",cpe:2.3:o:apollotechnologiesinc:momentum_axel_720p_firmware:5.1.8:*:*:*:*:*:*:*|cpe:2.3:h:apollotechnologiesinc:momentum_axel_720p:-:*:*:*:*:*:*:*,vendor_only,2018-06-12,6.8,3.0,,No,Low,Unrecognized vendor and no camera signal in the description; likely a brand-keyword collision rather than a home camera.,No,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2018-14768,"Various VIVOTEK FD8*, FD9*, FE9*, IB8*, IB9*, IP9*, IZ9*, MS9*, SD9*, and other devices before XXXXXX-VVTK-xx06a allow remote attackers to execute arbitrary code.",cpe:2.3:h:vivotek:camera:-:*:*:*:*:*:*:*,vendor_only,2018-08-29,8.8,3.0,,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2018-14769,VIVOTEK FD8177 devices before XXXXXX-VVTK-xx06a allow CSRF.,cpe:2.3:h:vivotek:camera:-:*:*:*:*:*:*:*,vendor_only,2018-09-05,8.8,3.0,CWE-352,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2018-14771,VIVOTEK FD8177 devices before XXXXXX-VVTK-xx06a allow remote attackers to execute arbitrary code (issue 2 of 2) via eventscript.cgi.,cpe:2.3:h:vivotek:camera:-:*:*:*:*:*:*:*,vendor_only,2018-09-05,8.8,3.0,,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2018-14494,"Vivotek FD8136 devices allow Remote Command Injection, related to BusyBox and wget. NOTE: the vendor sent a clarification on 2019-09-17 explaining that, although this CVE was first populated in July 2019, it is a historical vulnerability that does not apply to any current or recent Vivotek hardware or firmware",cpe:2.3:o:vivotek:fd8136_firmware:0301a:*:*:*:*:*:*:*|cpe:2.3:h:vivotek:fd8136:-:*:*:*:*:*:*:*,vendor_only,2019-07-10,9.8,3.0,CWE-78,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2018-14495,"Vivotek FD8136 devices allow Remote Command Injection, aka ""another command injection vulnerability in our target device,"" a different issue than CVE-2018-14494. NOTE: The vendor has disputed this as a vulnerability and states that the issue does not cause a web server crash or have any other affect on it's performance",cpe:2.3:o:vivotek:fd8136_firmware:0301a:*:*:*:*:*:*:*|cpe:2.3:h:vivotek:fd8136:-:*:*:*:*:*:*:*,vendor_only,2019-07-10,9.8,3.0,CWE-78,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2018-14496,"Vivotek FD8136 devices allow remote memory corruption and remote code execution because of a stack-based buffer overflow, related to sprintf, vlocal_buff_4326, and set_getparam.cgi. NOTE: The vendor has disputed this as a vulnerability and states that the issue does not cause a web server crash or have any other affect on it's performance",cpe:2.3:o:vivotek:fd8136_firmware:0301a:*:*:*:*:*:*:*|cpe:2.3:h:vivotek:fd8136:-:*:*:*:*:*:*:*,vendor_only,2019-07-10,9.8,3.0,CWE-787,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Maybe/Low  X:Yes/High  G:No/High,judgments not unanimous,CVE-2023-28812,"There is a buffer overflow vulnerability in a web browser plug-in could allow an attacker to exploit the vulnerability by sending crafted messages to computers installed with this plug-in, which could lead to arbitrary code execution or cause process exception of the plug-in.",cpe:2.3:a:hikvision:localservicecomponents:*:*:*:*:*:*:*:*,vendor_only,2023-11-23,9.8,3.1,CWE-120,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,No,High,,Maybe,,Yes,,Partner=Maybe vs Suhani=Yes
cameras,vendor_only,C:Maybe/Low  X:Yes/High  G:No/High,judgments not unanimous,CVE-2023-28813,"An attacker could exploit a vulnerability by sending crafted messages to computers installed with this plug-in to modify plug-in parameters, which could cause affected computers to download malicious files. ",cpe:2.3:a:hikvision:localservicecomponents:*:*:*:*:*:*:*:*,vendor_only,2023-11-23,7.5,3.1,,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,No,High,,Maybe,,Yes,,Partner=Maybe vs Suhani=Yes
cameras,vendor_only,C:Maybe/Low  X:Yes/High  G:No/High,judgments not unanimous,CVE-2024-47485,"There is a CSV injection vulnerability in some HikCentral Master Lite versions. If exploited, an attacker could build malicious data to generate executable commands in the CSV file.",cpe:2.3:a:hikvision:hikcentral_master:*:*:*:*:lite:*:*:*,vendor_only,2024-10-18,9.8,3.1,CWE-1236,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,No,High,,No,,Yes,,Partner=No vs Suhani=Yes
cameras,vendor_only,C:Maybe/Low  X:Yes/High  G:No/High,judgments not unanimous,CVE-2024-47486,"There is an XSS vulnerability in some HikCentral Master Lite versions. If exploited, an attacker could inject scripts into certain pages by building malicious data.",cpe:2.3:a:hikvision:hikcentral_master:*:*:*:*:lite:*:*:*,vendor_only,2024-10-18,6.1,3.1,CWE-79,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,No,High,,No,,Yes,,Partner=No vs Suhani=Yes
cameras,vendor_only,C:Maybe/Low  X:Yes/High  G:No/High,judgments not unanimous,CVE-2024-47487,There is a SQL injection vulnerability in some HikCentral Professional versions. This could allow an authenticated user to execute arbitrary SQL queries.,cpe:2.3:a:hikvision:hikcentral_professional:*:*:*:*:*:*:*:*,vendor_only,2024-10-18,8.8,3.1,CWE-89,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,No,High,,No,,Yes,,Partner=No vs Suhani=Yes
cameras,vendor_only,C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-37822,"The Eufy Homebase 2 before firmware version 3.3.4.1h creates a dedicated wireless network for its ecosystem, which serves as a proxy to the end user's primary network. The WPA2-PSK generation of this dedicated network is flawed and solely based on the serial number. Due to the flawed generation process, the WPA2-PSK can be brute forced offline within seconds. This vulnerability allows an attacker in proximity to the dedicated wireless network to gain unauthorized access to the end user's primary network. The only requirement of the attack is proximity to the dedicated wireless network.",cpe:2.3:o:eufy:homebase_2_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:eufy:homebase_2:-:*:*:*:*:*:*:*,vendor_only,2024-10-03,8.2,3.1,CWE-331,Yes,High,,No,High,,Yes,High,,Yes,,No,Same CVE ruled No in alarms.,Partner=Yes vs Suhani=No
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2024-48799,An issue in LOREX TECHNOLOGY INC com.lorexcorp.lorexping 1.4.22 allows a remote attacker to obtain sensitive information via the firmware update process.,,vendor_only,2024-10-14,7.5,3.1,CWE-200,No,Low,No CPE and no camera signal in the description; cannot tie this to a home camera.,No,High,,Yes,High,,Yes,,Maybe,,Partner=Yes vs Suhani=Maybe
cameras,vendor_only,C:Maybe/Low  X:Maybe/Low  G:Yes/High,both strong reviewers low confidence; judgments not unanimous,CVE-2007-3167,Stack-based buffer overflow in the Vivotek Motion Jpeg ActiveX control (aka MjpegControl) in MjpegDecoder.dll 2.0.0.13 allows remote attackers to execute arbitrary code via a long PtzUrl property value.,cpe:2.3:a:vivotek:mjpegcontrol:2.0.0.13:*:*:*:*:*:*:*,vendor_only,2007-06-11,7.6,2.0,,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Maybe,Low,"Description mentions security camera-related terms, but the affected product appears to be general software/IT rather than the device itself.",Yes,High,,Maybe,,No,,Partner=Maybe vs Suhani=No
cameras,vendor_only,C:No/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2009-0644,"The HTTP interface in Swann DVR4-SecuraNet has a certain default administrative username and password, which makes it easier for remote attackers to obtain privileged access.",cpe:2.3:h:swannsecurity:dvr4-securanet:-:*:*:*:*:*:*:*,vendor_only,2009-02-18,5.0,2.0,CWE-255,No,Low,Unrecognized vendor and no camera signal in the description; likely a brand-keyword collision rather than a home camera.,Yes,High,,Yes,High,,No,,Yes,,Partner=No vs Suhani=Yes
cameras,vendor_only,C:No/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2009-0640,"Directory traversal vulnerability in the administrative web server in Swann DVR4-SecuraNet allows remote attackers to read arbitrary files via a .. (dot dot) in the URI, as demonstrated by reading the vy_netman.cfg file that contains passwords.",cpe:2.3:h:swannsecurity:dvr4-securanet:-:*:*:*:*:*:*:*,vendor_only,2009-02-20,5.0,2.0,CWE-22,No,Low,Unrecognized vendor and no camera signal in the description; likely a brand-keyword collision rather than a home camera.,Yes,High,,Yes,High,,No,,Yes,,Partner=No vs Suhani=Yes
cameras,vendor_only,C:Maybe/Low  X:Maybe/Low  G:Yes/High,both strong reviewers low confidence; judgments not unanimous,CVE-2013-3690,"Cross-site request forgery (CSRF) vulnerability in cgi-bin/users.cgi in Brickcom FB-100Ap, WCB-100Ap, MD-100Ap, WFB-100Ap, OB-100Ae, OSD-040E, and possibly other camera models with firmware 3.1.0.8 and earlier, allows remote attackers to hijack the authentication of administrators for requests that add users.",cpe:2.3:o:brickcom:100ap_device_firmware:3.1.0.8:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:fb-100ap:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:md-100ap:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:ob-100ae:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:osd-040e:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:wcb-100ap:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:wfb-100ap:-:*:*:*:*:*:*:*,vendor_only,2013-10-01,6.8,2.0,CWE-352,Maybe,Low,Unrecognized vendor but the description references a camera/surveillance device; home vs commercial deployment is unclear.,Maybe,Low,Hardware CPE suggests surveillance gear; unclear if this is a consumer home camera.,Yes,High,,Yes,One of these models is made for homes,Maybe,,Partner=Yes vs Suhani=Maybe
cameras,vendor_only,C:Maybe/Low  X:Maybe/Low  G:Yes/High,both strong reviewers low confidence; judgments not unanimous,CVE-2013-3689,"Brickcom FB-100Ap, WCB-100Ap, MD-100Ap, WFB-100Ap, OB-100Ae, OSD-040E, and possibly other camera models with firmware 3.0.6.16C1 and earlier, do not properly restrict access to configfile.dump, which allow remote attackers to obtain sensitive information (user names, passwords, and configurations) via a get action.",cpe:2.3:o:brickcom:100ap_device_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:fb-100ap:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:md-100ap:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:ob-100ae:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:osd-040e:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:wcb-100ap:-:*:*:*:*:*:*:*|cpe:2.3:h:brickcom:wfb-100ap:-:*:*:*:*:*:*:*,vendor_only,2013-10-04,7.8,2.0,CWE-264,Maybe,Low,Unrecognized vendor but the description references a camera/surveillance device; home vs commercial deployment is unclear.,Maybe,Low,Hardware CPE suggests surveillance gear; unclear if this is a consumer home camera.,Yes,High,,Yes,WCP 100 or smth is made for homes,Maybe,,Partner=Yes vs Suhani=Maybe
cameras,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2014-1201,"Buffer overflow in the INetViewX ActiveX control in the Lorex Edge LH310 and Edge+ LH320 series with firmware 7-35-28-1B26E, Edge2 LH330 series with firmware 11.17.38-33_1D97A, and Edge3 LH340 series with firmware 11.19.85_1FE3A allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via a long string in the HTTP_PORT parameter.",cpe:2.3:a:lorex_technology:edge_lh310_firmware:7-35-28-1b26e:*:*:*:*:*:*:*|cpe:2.3:h:lorextechnology:edge:lh310:*:*:*:*:*:*:*|cpe:2.3:a:lorex_technology:edge3_lh340_firmware:11.19.85_1fe3a:*:*:*:*:*:*:*|cpe:2.3:h:lorextechnology:edge3:lh340:*:*:*:*:*:*:*|cpe:2.3:a:lorex_technology:edge2_lh330_firmware:11.17.38-33_1d97a:*:*:*:*:*:*:*|cpe:2.3:h:lorextechnology:edge2:lh330:*:*:*:*:*:*:*|cpe:2.3:a:lorex_technology:edge\+_lh320_firmware:7-35-28-1b26e:*:*:*:*:*:*:*|cpe:2.3:h:lorextechnology:edge\+:lh320:*:*:*:*:*:*:*,vendor_only,2014-01-15,10.0,2.0,CWE-119,No,Low,Unrecognized vendor and no camera signal in the description; likely a brand-keyword collision rather than a home camera.,No,High,,Yes,High,,Yes,Edge LH310 series made for homes,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Yes/High  X:Maybe/Low  G:Yes/High,judgments not unanimous,CVE-2017-2850,"In the web management interface in Foscam C1 Indoor HD cameras with application firmware 2.52.2.37, a specially crafted HTTP request can allow for a user to inject arbitrary characters in the pureftpd.passwd file during a username change, which in turn allows for bypassing chroot restrictions in the FTP server. An attacker can simply send an HTTP request to the device to trigger this vulnerability.",cpe:2.3:o:foscam:c1_indoor_hd_camera_firmware:2.52.2.37:*:*:*:*:*:*:*|cpe:2.3:h:foscam:c1_indoor_hd_camera:-:*:*:*:*:*:*:*,vendor_only,2017-06-29,8.8,3.1,CWE-78,Yes,High,,Maybe,Low,"Description mentions security camera-related terms, but the affected product appears to be general software/IT rather than the device itself.",Yes,High,,Yes,,No,"FTP/server software, not a home IoT device.",Partner=Yes vs Suhani=No
