Category,Direction,Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict 1,Human Notes 1,Human Verdict 2,Human Notes 2
cameras,vendor_only,C:No/High  X:Yes/Low  G:Maybe/Low,judgments not unanimous,CVE-2022-27597,"A vulnerability has been reported to affect QNAP operating systems. If exploited, the out-of-bounds read vulnerability allows remote authenticated administrators to get secret values. The vulnerability affects the following QNAP operating systems: QTS, QuTS hero, QuTScloud, QVP (QVR Pro appliances) We have already fixed the vulnerability in the following versions: QTS 5.0.1.2346 build 20230322 and later QuTS hero h5.0.1.2348 build 20230324 and later",cpe:2.3:a:qnap:qvr:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qts:*:*:*:*:*:*:*:*|cpe:2.3:o:qnap:quts_hero:*:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qutscloud:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-41b_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-41b:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-63b_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-63b:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-85b_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-85b:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-21a_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-21a:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-41a_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-41a:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-63a_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-63a:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-85a_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-85a:-:*:*:*:*:*:*:*,vendor_only,2023-03-29,2.7,3.1,CWE-125|CWE-489|CWE-1295,No,High,,Yes,Low,Affects QTS/QuTS/QuTScloud and QVP (QVR Pro appliances); home NVR in scope but shared with general QNAP NAS OS.,Maybe,Low,"Affects QNAP operating systems and QVR Pro appliances (QVP series), which can be used in both home and enterprise contexts.",No,"QNAP QVR/VioStor/QTS is a video-recording app package on QNAP's general-purpose NAS OS, not a dedicated home camera/NVR appliance — falls under the ""enterprise NVR/VMS"" exclusion in the cameras scope note.",,
cameras,vendor_only,C:No/High  X:Yes/Low  G:Maybe/Low,judgments not unanimous,CVE-2022-27598,"A vulnerability has been reported to affect QNAP operating systems. If exploited, the out-of-bounds read vulnerability allows remote authenticated administrators to get secret values. The vulnerability affects the following QNAP operating systems: QTS, QuTS hero, QuTScloud, QVP (QVR Pro appliances) We have already fixed the vulnerability in the following versions: QTS 5.0.1.2346 build 20230322 and later QuTS hero h5.0.1.2348 build 20230324 and later",cpe:2.3:o:qnap:qts:*:*:*:*:*:*:*:*|cpe:2.3:o:qnap:quts_hero:*:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qutscloud:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-41b_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-41b:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-63b_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-63b:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-85b_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-85b:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-21a_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-21a:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-41a_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-41a:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-63a_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-63a:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-85a_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-85a:-:*:*:*:*:*:*:*,vendor_only,2023-03-29,2.7,3.1,CWE-125,No,High,,Yes,Low,Affects QTS/QuTS/QuTScloud and QVP (QVR Pro appliances); home NVR in scope but shared with general QNAP NAS OS.,Maybe,Low,"Yes, but the QVP series is often enterprise-grade, making it ambiguous whether it's a home IoT device.",No,"QNAP QVR/VioStor/QTS is a video-recording app package on QNAP's general-purpose NAS OS, not a dedicated home camera/NVR appliance — falls under the ""enterprise NVR/VMS"" exclusion in the cameras scope note.",,
cameras,vendor_only,C:Yes/Low  X:Yes/High  G:No/High,judgments not unanimous,CVE-2014-2227,"The default Flash cross-domain policy (crossdomain.xml) in Ubiquiti Networks UniFi Video (formerly AirVision aka AirVision Controller) before 3.0.1 does not restrict access to the application, which allows remote attackers to bypass the Same Origin Policy via a crafted SWF file.",cpe:2.3:a:ui:unifi_video:*:*:*:*:*:*:*:*,vendor_only,2014-07-25,6.0,2.0,CWE-264,Yes,Low,"Ubiquiti UniFi Protect/Video is a consumer-available prosumer camera/NVR system; borderline against the enterprise-VMS exclusion but consumer-purchasable and home-deployed, so leaning in per the consumer-availability convention.",Yes,High,,No,High,,Yes,"Ubiquiti UniFi Video/Protect is a prosumer camera/NVR line sold direct to consumers — precedent for prosumer brands (Uniview, Vivotek, Merit LILIN) applies.",,
cameras,vendor_only,C:Yes/Low  X:Yes/High  G:No/High,judgments not unanimous,CVE-2019-5430,"In UniFi Video 3.10.0 and prior, due to the lack of CSRF protection, it is possible to abuse the Web API to make changes on the server configuration without the user consent, requiring the attacker to lure an authenticated user to access on attacker controlled page.",cpe:2.3:a:ui:unifi_video:*:*:*:*:*:*:*:*,vendor_only,2019-05-06,8.8,3.0,CWE-352,Yes,Low,"Ubiquiti UniFi Protect/Video is a consumer-available prosumer camera/NVR system; borderline against the enterprise-VMS exclusion but consumer-purchasable and home-deployed, so leaning in per the consumer-availability convention.",Yes,High,,No,High,,Yes,"Ubiquiti UniFi Video/Protect is a prosumer camera/NVR line sold direct to consumers — precedent for prosumer brands (Uniview, Vivotek, Merit LILIN) applies.",,
cameras,vendor_only,C:Yes/Low  X:Yes/High  G:No/High,judgments not unanimous,CVE-2020-8144,"The UniFi Video Server v3.9.3 and prior (for Windows 7/8/10 x64) web interface Firmware Update functionality, under certain circumstances, does not validate firmware download destinations to ensure they are within the intended destination directory tree. It accepts a request with a URL to firmware update information. If the version field contains ..\ character sequences, the destination file path to save the firmware can be manipulated to be outside the intended destination directory tree. Fixed in UniFi Video Controller v3.10.3 and newer.",cpe:2.3:a:ui:unifi_video:*:*:*:*:*:*:*:*|cpe:2.3:o:microsoft:windows:-:*:*:*:*:*:*:*,vendor_only,2020-04-01,8.4,3.1,CWE-22,Yes,Low,"Ubiquiti UniFi Protect/Video is a consumer-available prosumer camera/NVR system; borderline against the enterprise-VMS exclusion but consumer-purchasable and home-deployed, so leaning in per the consumer-availability convention.",Yes,High,,No,High,,Yes,"Ubiquiti UniFi Video/Protect is a prosumer camera/NVR line sold direct to consumers — precedent for prosumer brands (Uniview, Vivotek, Merit LILIN) applies.",,
cameras,vendor_only,C:Yes/Low  X:Yes/High  G:No/High,judgments not unanimous,CVE-2020-8145,"The UniFi Video Server (Windows) web interface configuration restore functionality at the “backup” and “wizard” endpoints does not implement sufficient privilege checks. Low privileged users, belonging to the PUBLIC_GROUP or CUSTOM_GROUP groups, can access these endpoints and overwrite the current application configuration. This can be abused for various purposes, including adding new administrative users. Affected Products: UniFi Video Controller v3.9.3 (for Windows 7/8/10 x64) and prior. Fixed in UniFi Video Controller v3.9.6 and newer.",cpe:2.3:a:ui:unifi_video:*:*:*:*:*:*:*:*|cpe:2.3:o:microsoft:windows:-:*:*:*:*:*:*:*,vendor_only,2020-04-01,6.5,3.1,,Yes,Low,"Ubiquiti UniFi Protect/Video is a consumer-available prosumer camera/NVR system; borderline against the enterprise-VMS exclusion but consumer-purchasable and home-deployed, so leaning in per the consumer-availability convention.",Yes,High,,No,High,,Yes,"Ubiquiti UniFi Video/Protect is a prosumer camera/NVR line sold direct to consumers — precedent for prosumer brands (Uniview, Vivotek, Merit LILIN) applies.",,
cameras,vendor_only,C:Yes/Low  X:Yes/High  G:No/High,judgments not unanimous,CVE-2020-8146,In UniFi Video v3.10.1 (for Windows 7/8/10 x64) there is a Local Privileges Escalation to SYSTEM from arbitrary file deletion and DLL hijack vulnerabilities. The issue was fixed by adjusting the .tsExport folder when the controller is running on Windows and adjusting the SafeDllSearchMode in the windows registry when installing UniFi-Video controller. Affected Products: UniFi Video Controller v3.10.2 (for Windows 7/8/10 x64) and prior. Fixed in UniFi Video Controller v3.10.3 and newer.,cpe:2.3:a:ui:unifi_video:*:*:*:*:*:*:*:*|cpe:2.3:o:microsoft:windows:-:*:*:*:*:*:*:*,vendor_only,2020-04-01,7.8,3.1,CWE-427,Yes,Low,"Ubiquiti UniFi Protect/Video is a consumer-available prosumer camera/NVR system; borderline against the enterprise-VMS exclusion but consumer-purchasable and home-deployed, so leaning in per the consumer-availability convention.",Yes,High,,No,High,,Yes,"Ubiquiti UniFi Video/Protect is a prosumer camera/NVR line sold direct to consumers — precedent for prosumer brands (Uniview, Vivotek, Merit LILIN) applies.",,
cameras,vendor_only,C:Yes/Low  X:Yes/High  G:No/High,judgments not unanimous,CVE-2020-24755,"In Ubiquiti UniFi Video v3.10.13, when the executable starts, its first library validation is in the current directory. This allows the impersonation and modification of the library to execute code on the system. This was tested in (Windows 7 x64/Windows 10 x64).",cpe:2.3:a:ui:unifi_video:3.10.13:*:*:*:*:*:*:*,vendor_only,2021-05-17,7.8,3.1,CWE-427,Yes,Low,"Ubiquiti UniFi Protect/Video is a consumer-available prosumer camera/NVR system; borderline against the enterprise-VMS exclusion but consumer-purchasable and home-deployed, so leaning in per the consumer-availability convention.",Yes,High,,No,High,,Yes,"Ubiquiti UniFi Video/Protect is a prosumer camera/NVR line sold direct to consumers — precedent for prosumer brands (Uniview, Vivotek, Merit LILIN) applies.",,
cameras,vendor_only,C:No/High  X:Yes/High  G:Maybe/Low,judgments not unanimous,CVE-2021-38685,"A command injection vulnerability has been reported to affect QNAP device, VioStor. If exploited, this vulnerability allows remote attackers to run arbitrary commands. We have already fixed this vulnerability in the following versions of QVR: QVR FW 5.1.6 build 20211109 and later",cpe:2.3:a:qnap:qvr:*:*:*:*:*:*:*:*,vendor_only,2021-11-26,9.8,3.1,CWE-78,No,High,,Yes,High,,Maybe,Low,"Affects QNAP VioStor/QVR, which can be used in both home and enterprise contexts.",No,"QNAP QVR/VioStor/QTS is a video-recording app package on QNAP's general-purpose NAS OS, not a dedicated home camera/NVR appliance — falls under the ""enterprise NVR/VMS"" exclusion in the cameras scope note.",,
cameras,vendor_only,C:No/High  X:Yes/High  G:Maybe/Low,judgments not unanimous,CVE-2021-38686,"An improper authentication vulnerability has been reported to affect QNAP device, VioStor. If exploited, this vulnerability allows attackers to compromise the security of the system. We have already fixed this vulnerability in the following versions of QVR: QVR FW 5.1.6 build 20211109 and later",cpe:2.3:a:qnap:qvr:*:*:*:*:*:*:*:*,vendor_only,2021-11-26,8.8,3.1,CWE-287,No,High,,Yes,High,,Maybe,Low,"Affects QNAP VioStor/QVR, which can be used in both home and enterprise contexts.",No,"QNAP QVR/VioStor/QTS is a video-recording app package on QNAP's general-purpose NAS OS, not a dedicated home camera/NVR appliance — falls under the ""enterprise NVR/VMS"" exclusion in the cameras scope note.",,
cameras,vendor_only,C:No/High  X:Yes/High  G:Yes/Low,judgments not unanimous,CVE-2021-38682,"A stack buffer overflow vulnerability has been reported to affect QNAP device running QVR Elite, QVR Pro, QVR Guard. If exploited, this vulnerability allows attackers to execute arbitrary code. We have already fixed this vulnerability in the following versions of QVR Elite, QVR Pro, QVR Guard: QuTS hero h5.0.0: QVR Elite 2.1.4.0 (2021/12/06) and later QuTS hero h4.5.4: QVR Elite 2.1.4.0 (2021/12/06) and later QTS 5.0.0: QVR Elite 2.1.4.0 (2021/12/06) and later QTS 4.5.4: QVR Elite 2.1.4.0 (2021/12/06) and later QTS 4.5.4: QVR Pro 2.1.3.0 (2021/12/06) and later QTS 5.0.0: QVR Pro 2.1.3.0 (2021/12/06) and later QTS 4.5.4: QVR Guard 2.1.3.0 and later QTS 5.0.0: QVR Guard 2.1.3.0 and later",cpe:2.3:a:qnap:qvr_elite:*:*:*:*:*:*:*:*|cpe:2.3:a:qnap:qvr_guard:*:*:*:*:*:*:*:*|cpe:2.3:a:qnap:qvr_pro:*:*:*:*:*:*:*:*,vendor_only,2022-01-14,9.8,3.1,CWE-120|CWE-787,No,High,,Yes,High,,Yes,Low,"QNAP QVR is a video recording software/system that can be used in home NVR contexts, though it is often used in enterprise. Given the scope note allows home DVR/NVR, this is plausible.",No,"QNAP QVR/VioStor/QTS is a video-recording app package on QNAP's general-purpose NAS OS, not a dedicated home camera/NVR appliance — falls under the ""enterprise NVR/VMS"" exclusion in the cameras scope note.",,
cameras,vendor_only,C:No/High  X:Yes/High  G:Yes/Low,judgments not unanimous,CVE-2021-38689,"A stack buffer overflow vulnerability has been reported to affect QNAP device running QVR Elite, QVR Pro, QVR Guard. If exploited, this vulnerability allows attackers to execute arbitrary code. We have already fixed this vulnerability in the following versions of QVR Elite, QVR Pro, QVR Guard: QuTS hero h5.0.0: QVR Elite 2.1.4.0 (2021/12/06) and later QuTS hero h4.5.4: QVR Elite 2.1.4.0 (2021/12/06) and later QTS 5.0.0: QVR Elite 2.1.4.0 (2021/12/06) and later QTS 4.5.4: QVR Elite 2.1.4.0 (2021/12/06) and later QTS 4.5.4: QVR Pro 2.1.3.0 (2021/12/06) and later QTS 5.0.0: QVR Pro 2.1.3.0 (2021/12/06) and later QTS 4.5.4: QVR Guard 2.1.3.0 (2021/12/06) and later QTS 5.0.0: QVR Guard 2.1.3.0 (2021/12/06) and later",cpe:2.3:a:qnap:qvr_elite:*:*:*:*:*:*:*:*|cpe:2.3:a:qnap:qvr_guard:*:*:*:*:*:*:*:*|cpe:2.3:a:qnap:qvr_pro:*:*:*:*:*:*:*:*,vendor_only,2022-01-14,9.8,3.1,CWE-120|CWE-787,No,High,,Yes,High,,Yes,Low,"QNAP QVR is a video recording software/system that can be used in home NVR contexts, though it is often and primarily used in enterprise. Given the scope note allows home DVR/NVR, and the rubric says to lean Yes for product lines that fit, I'm classifying as Yes.",No,"QNAP QVR/VioStor/QTS is a video-recording app package on QNAP's general-purpose NAS OS, not a dedicated home camera/NVR appliance — falls under the ""enterprise NVR/VMS"" exclusion in the cameras scope note.",,
cameras,vendor_only,C:No/High  X:Yes/High  G:Yes/Low,judgments not unanimous,CVE-2021-38690,"A stack buffer overflow vulnerability has been reported to affect QNAP device running QVR Elite, QVR Pro, QVR Guard. If exploited, this vulnerability allows attackers to execute arbitrary code. We have already fixed this vulnerability in the following versions of QVR Elite, QVR Pro, QVR Guard: QuTS hero h5.0.0: QVR Elite 2.1.4.0 (2021/12/06) and later QuTS hero h4.5.4: QVR Elite 2.1.4.0 (2021/12/06) and later QTS 5.0.0: QVR Elite 2.1.4.0 (2021/12/06) and later QTS 4.5.4: QVR Elite 2.1.4.0 (2021/12/06) and later QTS 4.5.4: QVR Pro 2.1.3.0 (2021/12/06) and later QTS 5.0.0: QVR Pro 2.1.3.0 (2021/12/06) and later QTS 4.5.4: QVR Guard 2.1.3.0 (2021/12/06) and later QTS 5.0.0: QVR Guard 2.1.3.0 (2021/12/06) and later",cpe:2.3:a:qnap:qvr_elite:*:*:*:*:*:*:*:*|cpe:2.3:a:qnap:qvr_guard:*:*:*:*:*:*:*:*|cpe:2.3:a:qnap:qvr_pro:*:*:*:*:*:*:*:*,vendor_only,2022-01-14,9.8,3.1,CWE-120|CWE-787,No,High,,Yes,High,,Yes,Low,"QNAP QVR is a video recording software/system that can be used in home DVR/NVR contexts, though it is often used in enterprise. Given the scope note allows home DVR/NVR, this is plausible.",No,"QNAP QVR/VioStor/QTS is a video-recording app package on QNAP's general-purpose NAS OS, not a dedicated home camera/NVR appliance — falls under the ""enterprise NVR/VMS"" exclusion in the cameras scope note.",,
