Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict,Human Notes
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-0350,Akuvox E11 does not ensure that a file extension is associated with the file provided. This could allow an attacker to upload a file to the device by changing the extension of a malicious file to an accepted file type.,cpe:2.3:o:akuvox:e11_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:akuvox:e11:-:*:*:*:*:*:*:*,vendor_only,2023-03-13,6.5,3.1,CWE-345,Yes,High,Akuvox E11 is a residential video door phone; missing file-extension validation enabling malicious upload is in scope.,No,High,,Yes,High,,,
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-0351,The Akuvox E11 web server backend library allows command injection in the device phone-book contacts functionality. This could allow an attacker to upload files with executable command instructions.,cpe:2.3:o:akuvox:e11_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:akuvox:e11:-:*:*:*:*:*:*:*,vendor_only,2023-03-13,8.8,3.1,CWE-77,Yes,High,Akuvox E11 is a residential video door phone; command injection in its phonebook/contacts function is in scope.,No,High,,Yes,High,,,
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-0352,"The Akuvox E11 password recovery webpage can be accessed without authentication, and an attacker could download the device key file. An attacker could then use this page to reset the password back to the default.",cpe:2.3:o:akuvox:e11_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:akuvox:e11:-:*:*:*:*:*:*:*,vendor_only,2023-03-13,9.1,3.1,,Yes,High,Akuvox E11 is a residential video door phone; an unauthenticated password-recovery page allowing key download and reset is in scope.,No,High,,Yes,High,,,
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-0353,Akuvox E11 uses a weak encryption algorithm for stored passwords and uses a hard-coded password for decryption which could allow the encrypted passwords to be decrypted from the configuration file.,cpe:2.3:o:akuvox:e11_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:akuvox:e11:-:*:*:*:*:*:*:*,vendor_only,2023-03-13,9.8,3.1,,Yes,High,Akuvox E11 is a residential video door phone; weak password encryption with a hard-coded decryption password is in scope.,No,High,,Yes,High,,,
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-0354,"The Akuvox E11 web server can be accessed without any user authentication, and this could allow an attacker to access sensitive information, as well as create and download packet captures with known default URLs.",cpe:2.3:o:akuvox:e11_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:akuvox:e11:-:*:*:*:*:*:*:*,vendor_only,2023-03-13,9.1,3.1,,Yes,High,Akuvox E11 is a residential video door phone; unauthenticated web-server access exposing sensitive data/packet captures is in scope.,No,High,,Yes,High,,,
C:Maybe/Low  X:No/High  G:No/High,judgments not unanimous,CVE-2024-31408,OS command injection vulnerability exists in AIPHONE IX SYSTEM and IXG SYSTEM. A network-adjacent authenticated attacker may execute an arbitrary OS command with root privileges by sending a specially crafted request.,,vendor_only,2024-11-22,8.0,3.0,CWE-78,Maybe,Low,"Aiphone IX/IXG is an IP door-intercom system; IXG serves multi-tenant residential buildings and IX targets commercial sites, so it is door-entry but its single-home consumer fit is uncertain.",No,High,,No,High,,,
C:Maybe/Low  X:No/High  G:No/High,judgments not unanimous,CVE-2024-39290,Insufficiently protected credentials issue exists in AIPHONE IX SYSTEM and IXG SYSTEM. A network-adjacent unauthenticated attacker may obtain sensitive information such as a username and its password in the address book.,,vendor_only,2024-11-22,6.5,3.0,CWE-522,Maybe,Low,"Aiphone IX/IXG is an IP door-intercom system; IXG serves multi-tenant residential buildings and IX targets commercial sites, so it is door-entry but its single-home consumer fit is uncertain.",No,High,,No,High,,,
C:Maybe/Low  X:No/High  G:No/High,judgments not unanimous,CVE-2024-45837,"Use of hard-coded cryptographic key issue exists in AIPHONE IX SYSTEM, IXG SYSTEM, and System Support Software. A network-adjacent unauthenticated attacker may log in to SFTP service and obtain and/or manipulate unauthorized files.",,vendor_only,2024-11-22,5.4,3.0,CWE-321,Maybe,Low,"Aiphone IX/IXG (and its support software) is an IP door-intercom system spanning multi-tenant residential and commercial sites, so door-entry but uncertain single-home consumer fit.",No,High,,No,High,,,
C:Maybe/Low  X:No/High  G:No/High,judgments not unanimous,CVE-2024-47142,"AIPHONE IXG SYSTEM IXG-2C7 firmware Ver.2.03 and earlier and IXG-2C7-L firmware Ver.2.03 and earlier contain an issue with insufficiently protected credentials, which may allow a network-adjacent authenticated attacker to perform unintended operations.",,vendor_only,2024-11-22,5.5,3.0,CWE-522,Maybe,Low,Aiphone IXG-2C7 is a tenant station in the IXG multi-tenant apartment door-intercom system; residential but a building/multi-dwelling entry system rather than a standalone home doorbell.,No,High,,No,High,,,
C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2024-48774,An issue in Fermax Asia Pacific Pte Ltd com.fermax.vida 2.4.6 allows a remote attacker to obtain sensitve information via the firmware update process.,,vendor_only,2024-10-11,7.5,3.1,CWE-306,Maybe,Low,"Fermax VIDA is the companion mobile app for a Fermax door-entry system; the vulnerability is in a mobile app rather than the doorbell device itself, so category fit is ambiguous.",No,High,,Yes,High,,,
